algo_id,qualified,lookback_note
"pump_fresh_tight",246,"Only 246/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"micro_cap_surge",179,"Only 179/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"elite",154,"Only 154/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"momentum",56,"Only 56/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"hybrid_b",56,"Only 56/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"let_it_ride",24,"Only 24/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"sol_veteran",71,"Only 71/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"utility_swing",71,"Only 71/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"established_breakout",8,"Only 8/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"meme_classic",30,"Only 30/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"volume_spike",6,"Only 6/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bags_fresh_snipe",154,"Only 154/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bags_momentum",21,"Only 21/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bags_value",22,"Only 22/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bags_dip_buyer",174,"Only 174/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bags_bluechip",25,"Only 25/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bags_conservative",22,"Only 22/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bags_aggressive",95,"Only 95/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bags_elite",22,"Only 22/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bluechip_trend_follow",15,"Only 15/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"bluechip_breakout",15,"Only 15/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"xstock_intraday",18,"Only 18/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"xstock_swing",11,"Only 11/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"prestock_speculative",7,"Only 7/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"index_intraday",2,"Only 2/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
"index_leveraged",2,"Only 2/5000 qualifying tokens found in 1376-token universe. Need larger universe or broader lookback."
