mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"Hu4PpKo62eh8GjMY9H1kGBcuGEbiYeKSp9bE5gqQpump","XingXing","XingXing The Monkey","6hh49CTYD4cRNEe7sa1pQs9owVyE12WE54fQLFmnx6Nx",1771141724,0,69854.69,35.49,0.000004066,1009,856,0,true,true,false,"dexscreener",77,19,17,16,25,0,22.6
"3W2Sshrh7wqfsy59g9E9oc3K2HVbFjJ2seGaE9Cypump","KYMLaunch","KnowYourMemeLaunch","4k2VgS57ak57YnntqfqoLYPXHBefHKPCjHkn8F4GC6xB",1771142131,0,24077.26,34.04,0.000004185,414,261,0,true,true,false,"dexscreener",75,17,17,16,25,0,22.4
"j14oTGeCdas1ULPfJUSqxXX48FjzjNVDTVmfcX1pump","nervy","i just get so nervy","8etMUo5A2iJpuiohS7XoBZ6qBZ2S2SNPFtTtbnaVAHPi",1771125444,0,131943.7,7.77,0.000008046,1719,1300,0,true,false,false,"dexscreener",74,21,20,8,25,0,27.1
"AcqQzvHkh3EA5t3YkYoTsAdzjVRtGiuXFXaQG9Mupump","FACED","FACED","FnF782r5WiD12EhjkWKWmkvy2QqporoNszZnLRAx1XaH",1771103986,0,4408.76,82.64,0.000005428,78,39,0,true,true,false,"dexscreener",71,15,15,16,25,0,33
"Ghf6v8FZ5joVmxMSCjhgZ7LGzssCVSuCFxZLrRsUpump","eggcar","eggcar","6Rn9xomYaw3JvKqMEtaM94ogdqvRwXGvLZvwN7F4FxMv",1771140305,0,71951.18,63.02,0.000004743,1058,840,0,true,false,false,"dexscreener",70,20,17,8,25,0,22.9
"RFsbyssq6mxdnjUmbC1EgwvaD2TXHgnNGpGufuEpump","XingXing","XingXing Monkey ","BtsbJ6b5douE2gbDEoG61793JtZpVxdy1oYCNS8aeqG9",1771133506,0,29853.45,0,0.000002597,432,383,0,true,false,false,"dexscreener",66,16,17,8,25,0,24.8
"3DsdCFH1RGfaV1CUSJzbmYQ7vFSsVuEFK1tHRVAiBAGS","CHRIST","Christ Bags","3DrHmGXh9LVFFxz5yGmgm8jagHijqhXvSQyjhus1etPa",1771107201,0,13865.09,7.14,0.000006773,163,114,0,true,false,false,"dexscreener",66,18,15,8,25,0,32.1
"4crsDLpDCaWh8qhCEstti3c63oH4xdArnmXLWakpBAGS","TME","The Mog Economy","DmD8RWUygw8fsiKrj4gQqDk31HQVejUrS9R6vJDGru6t",1771132203,0,21878.77,2.62,0.000005444,273,173,0,true,false,false,"dexscreener",65,17,15,8,25,0,25.2
"G83vNy8rgi9V6nhWJ2nDKkukmJkEJVEyKWkrWzCkpump","ditto","Ditto","GDE2BxLn9ATCPG5iGdAqTxLZBUXHFYqECUo5Addgwvut",1771137672,0,11664.57,0,0.00003692,68,7,0,true,true,false,"dexscreener",65,18,6,16,25,0,23.7
"5xNShMDxuokWJF2hpzxj9L1rWNSP3QzAnYN7E3Gspump","dopamine","dopamine coin","3VojH3BphiJ4tN3FfKj8zHwzN1Y7Mc9pvys4QVbkocgj",1771133412,0,8996.29,3.69,0.000006979,185,85,0,true,false,false,"dexscreener",64,16,15,8,25,0,24.9
"FPgp3P1p3rJCSUsbiMgoS2Y2GxaeS7YCVbUqw3Popump","PIPPJUICE","PIPPINJIUCE","7Vn59g2ER3HjULAUcpXohZjsqWxhErD5AR9iNFi6U1JZ",1771140224,0,23103.28,1274,0.00003691,225,82,0,true,false,false,"dexscreener",63,18,12,8,25,0,23
"tsY6tGpWWSm8rcvQXd5mSV28eptNxvKNmbR4FUbpump","Trump","Trump","GDpE8MwTy5HWfhpXrYba7BJkUXryQpdk4kDWznUCy8VQ",1771142427,0,22759.77,486,0.00002628,1676,705,0,false,false,false,"dexscreener",62,20,17,0,25,0,22.4
"BuMfZSbXhKGAraveZeta5hUKkCFdLX772UtiNt9MiqNh","X plans","X plans","G1Apd9HfTr2FwsG6qxQQEwFYLyzcPPCrw7UWG2Eg1seJ",1771074315,0,164110.61,0,0.00003813,287,271,0,false,false,false,"dexscreener",61,19,17,0,25,0,41.3
"kpC5UPZsgD7S4QYVJTAtVZ6woe8YZbsmpV5sR6Xpump","SHOEBILL","Shoebill Coin","53dQMp2N7ntxF1fGx3uxiEMVtpnmxuEBeHsGio5nueTX",1771130930,0,60454.07,3.55,0.000004212,759,620,0,false,false,false,"dexscreener",61,19,17,0,25,0,25.6
"6t6yLG3krcdfDDcnxpdjQGtrMRBaWMxBPwN856HgBAGS","COOKED","cooked","3RitidM8JiJxAQ7JtrkKwkq6a5nmeFVLTdg9v2DBWQyr",1771067661,0,34452.22,0,0.000002441,489,340,0,false,false,false,"dexscreener",60,18,17,0,25,0,43.1
"5m4xJfXPzFiYSL24x56MJt1ULZePbGnemXFLRMoWpump","whalepin","whalepin","8kkFGqaHZRFvs36SEHEM9oXiJ6WJyYkgkFiVR1ttUPmD",1771117179,0,3521.28,2.98,0.00000382,503,233,0,false,false,false,"dexscreener",60,18,17,0,25,0,29.4
"8s3qVJDAmV8AMecQfsMyi7kqRtSnzdchAUcfsgcZpump","WIF","Wallahi Im Finished Official","FHAvqMBaMUzwiiprKJf98tMhNXNvSnH3yhhmFAg7y43",1771120098,0,34971.25,0,0.000002525,471,457,0,false,false,false,"dexscreener",58,16,17,0,25,0,28.6
"9SSaSWNbdiSqEXTVihU5fx5pPvGBPDBfkARybgdEBAGS","TOMMY","Tommy Fund","4DhEcFe2NceP5RTdxkvsMWnEbQXZfqkv2dCB4x2sBUJH",1771070275,0,19181.29,0,0.000002616,201,148,0,false,false,false,"dexscreener",58,18,15,0,25,0,42.4
"HL5xJ51avkApsTaXiNWysxGawYdJEXEUBR97rNoiBAGS","COOKED","cooked","6tzwrGQuP8MLjycVKyxoZhq6gukwEhUacm9zLVv9eMRy",1771067681,0,17098.5,0,0.000002533,128,93,0,false,false,false,"dexscreener",58,18,15,0,25,0,43.1
"2UYRLZBAGXfAcNsMCW6ZmVuTYD7VhzsTXhmTSATGBAGS","X-CLI","X-CLI by @elliotarledge","FbM7eWtnhQXyhZuF4DLZKbaSJX95CdRqn3BakkNhNqa7",1771066264,0,16439.39,0,0.000002594,142,106,0,false,false,false,"dexscreener",58,18,15,0,25,0,43.5
"5iQ873urwY7ZiypYXy3gMS6y8JdMaNpEFR4eziJ2BAGS","KUNO","The Hyperliquid Whale","4JrQNWgLLot4Xa7Sc5K6YWtUY6rLt9iA5QQxGajQaHgw",1771033051,0,12469.25,0,0.000002621,139,107,0,false,false,false,"dexscreener",58,18,15,0,25,0,52.7
"2k5GCZQKq477rH5Ncy7HWLsxRbSrXLtcZnK6iHgJpump","INU","IM NOW USELESS","F4VRfszALZuBaHyAC27gaAiPptykv4cV8KTTFF75Wkos",1771060079,0,10008.51,0,0.000002407,135,108,0,false,false,false,"dexscreener",58,18,15,0,25,0,45.2
"3XrYXG6VaPCsZoGq1U6Sc9nEJHDDTB5cwaPJcBkcBAGS","NIKECHAN","AIニケちゃん","G5rKzadXQkYb46e9UM1wso13TEkJ4WfHPFgFs2FHu29G",1771000782,0,18311.11,0,0.000002609,116,137,0,false,false,false,"dexscreener",57,17,15,0,25,0,61.7
"Ae7ho3KR7XCLA777traVUfp6MDtdvhUa2L472hiApump","MOON","MOON","3HpKWB3gpA6UeQw1qHjp4Jvzvr7bc9VakVS4oyksmy5V",1771140313,0,12874.63,6.16,0.000002847,151,121,0,false,false,false,"dexscreener",57,17,15,0,25,0,22.9
"mHe4DyXNDBEWN3tdtG1ZXNfLUxDuwsakVbrEC2WBAGS","SAMMY","Sammy Jankis","5N4pR5aNL4sriLPvAViRahfSp7heQVKT74evd6YZELvB",1771105707,0,12194.5,0,0.000002635,101,95,0,false,false,false,"dexscreener",57,17,15,0,25,0,32.6
"FQ3gbfErUSixv1zFuPuSPgcVE4ercw89ohTTiiJ8pump","inu","i need u","GyEYJimYZo2vPq1NBFGiCXxr4Q82MTXStCjNBspbQQqb",1771066396,0,11635.3,0,0.000002439,191,166,0,false,false,false,"dexscreener",57,17,15,0,25,0,43.5
"Fg5c2Bb2U2W2Xwc4jEcMuuKiLj5dRnNbVkFnFC2Qpump","EAGLE","the eagle","BuFjrxmoLzFjhttXMV4Xgtn7Mkssz5Se2LWCkRZ1EARd",1771081586,0,11204.67,0,0.000002443,139,154,0,false,false,false,"dexscreener",57,17,15,0,25,0,39.3
"8gt2rW6zRz2TnrsH4LXYeWVjELPXWsgroWXDBaTXBAGS","BTCP","CoroCoro Comic Pikachu","Gda7q6KFJoqWm5yGbTMg9u1LZyg9KKh1NVY35hU2Uryk",1771128545,0,11203.73,0,0.000002636,116,94,0,false,false,false,"dexscreener",57,17,15,0,25,0,26.2
"4f8QFxLH8Kc4MLwffjoKPBoVNvyDmksgadfdNEMFBAGS","RESTORE","Restore Britain","FBttJgZrboUSpYdeLYLgL81nAzpPXpp9K2DcGSZYmQ3v",1771060096,0,10635.05,0,0.000002554,96,78,0,false,false,false,"dexscreener",57,17,15,0,25,0,45.2
"ADCJuPPMSUQ16h8DFio1rKPXTGVasJ3ZJBAzuai4pump","DriftCat","Cat Drifting Car","GgcxntJTxuHchqEaXZV2gU6etks9RZCGFb8WT2nyK5Hj",1771135847,0,14594.7,1.4,0.000002566,189,194,0,false,false,false,"dexscreener",56,16,15,0,25,0,24.2
"HG6GFrPW8VX51xi2y5d6ijez1dfx8yW9BFNV6T8apump","hearts","Hearts Aflame","9Deaw1ubt42gobhFVTb3x9igFf97CsKXS7SUMdYBjW13",1771090940,0,8851.74,0,0.000002489,154,111,0,false,false,false,"dexscreener",56,16,15,0,25,0,36.7
"CoHDW7GQ9V6yGX6RBaPCjvu6KRZC7ijKDBA6yNvTFXP5","Cloud","Pippin's Dream","455ApvHDunaG3QBmCaAtVm2HmdGUf3SKXDfeCitkM1La",1771102487,0,13347.65,0,0.000009355,215,403,0,false,false,false,"dexscreener",55,16,14,0,25,0,33.5
"DB9j43mxRC3WbcXAdYdQ8FJHgnvMfQxftumhpefkFwWH","Cloud","Pippin's Dream","7R2PZTrk3yYTgdWTroYtnrz24iHcefwmCR5rQGUohUxT",1771059195,0,12566.09,0,0.000009257,209,392,0,false,false,false,"dexscreener",55,16,14,0,25,0,45.5
"ENVugk3TKgSVQfuhbffCQNSqqfqT689DMuY7xA448JFT","EAGLE","The Eagle","CpSuxJBFgrszZKvU6cnzNfWDzTLoBfGaWhzbMdhmBFaJ",1771081563,0,8333.02,0,0.000004111,80,62,0,false,false,false,"dexscreener",55,15,15,0,25,0,39.3
"3XWdjKB6hsRigrwcsbpoXb9G1KUB5GKyn7RGoUbbYVUQ","Cloud","Pippin's Dream","C1UBvebEGfgnoAF5b9aiT1rnAWnfeeLZQe2XyYVYdqhB",1771139635,0,13720.78,3.27,0.000009632,206,406,0,false,false,false,"dexscreener",54,15,14,0,25,0,23.1
"Ht9wdTQUQvWGLtU1MDAXN2pPKraLidaMuXUVDX4wj3uf","Cloud","Pippin's Dream","4xv3TYh64kc7aMPeB8eebGSjZTB8KGC7insmYFRDBZva",1771139704,0,13173.5,8.1,0.000009584,216,399,0,false,false,false,"dexscreener",54,15,14,0,25,0,23.1
"5CZgcEAts35Tcos5PYU46RtUC5wNthtK6KMHnuiBBAGS","OMNI","OmnixAI","23Z7pB15h2yYJRizGfTgNubGdZWsicfPeNWsu88q4sv7",1771087237,0,9675.4,0,0.000002864,86,77,0,false,false,false,"dexscreener",54,14,15,0,25,0,37.7
"EC26JxgnfbrSGgWNYhqMiDe5GQE9kBkuxs2XB7seBAGS","BANKS","William Banks Fund","C34ab9G7V7RgyKNFikC8kRhfNJUtVxfXM6JVi5GmtTCJ",1771021029,0,9580.21,0,0.000002731,61,57,0,false,false,false,"dexscreener",54,14,15,0,25,0,56.1
"BZRk3JNWitp2iKvsbbRBEL2HCGyvXcbRukZ7tJE1pump","WIF","Wallahi Im Finished Official","BWYgBsTi4ronKNeX13Dvb3x4AW39pigtq5hzf4rzMDS2",1771120250,0,8315.84,0,0.000002465,68,42,0,false,false,false,"dexscreener",54,14,15,0,25,0,28.5
"2msxhGKQ5poV7FidYLrGdpTThVvbRfxLNN8EvLTFBAGS","USELESS","USELESS COIN","BM33h48RHopeeipVTZsxwTFvVepCf6rpzCKZBFMDWnB5",1771060666,0,7681.05,0,0.000002506,86,88,0,false,false,false,"dexscreener",54,14,15,0,25,0,45.1
"CLbbsrMqz82ei8Sd7tv8qhhon481UgKjei21Lhbipump","AGENT","Agent Wars","9CDgAmaq6MbbzcojuLEikRJDJiRsJyHrGVF648PcDKXU",1771113092,0,7630.92,0,0.000002464,97,109,0,false,false,false,"dexscreener",54,14,15,0,25,0,30.5
"vVKoJaNFscVND7ApEhhtP1shrcvyRoBqXUefrszpump","INU","In U","Ek4MRwdZBP8Xg2DGLCa3TZomrMANFkd6EvpQ8G1M5WNb",1771085420,0,7116.56,0,0.000002445,71,63,0,false,false,false,"dexscreener",54,14,15,0,25,0,38.2
"3WJ3XKRue4qbK7pnsFti8fTK7k75qNFpwDPjJ2uopump","Act R","Act R: The Replacement","J71mEipb3Gy5qxxYXrMicPzEtazqb9SChc2qRi1BG8MS",1771099066,0,6369.87,0,0.000002467,65,79,0,false,false,false,"dexscreener",54,14,15,0,25,0,34.4
"8vUvfe1UFnrqJdK7VWXicnB5E1zem76TJ6sF8egthbZH","INU","In U","M4UHnxWxpG3obva8wGVRKJx2bFux2jhrCYuGG9iPptN",1771029254,0,773.2,0,0.000002729,8,16,0,true,false,false,"dexscreener",54,11,10,8,25,0,53.8
"EvkDC595Xg6f6DqNHx3fetaXnWYCRigUixBLDsvTBAGS","MERTCOIN","mertcoin","CbhoXLnW8aE8Zq752ahn7ZDvVnVu9krB2axp5y9K5QnR",1771074564,0,7780.67,0,0.000002536,50,68,0,false,false,false,"dexscreener",53,13,15,0,25,0,41.2
"XWmSrWyLsEB3nHLsSEJqAbG4aoq8qt325ifqoHTBAGS","HYPER","HYPERFOMO","5SqSrZHe9duKMBzkUAc4EQHKGQyHr6gLyyWxFvEZKNqQ",1771138717,0,6100.03,115,0.000008525,79,24,0,false,false,false,"dexscreener",53,16,12,0,25,0,23.4
"DpwnF6Mad68Kxdk3fCDpUYK4LbU8Mt3UqoDYuuBnpump","INU","In U","BeXw3D4CbbGn1CNmX6XGzPUHc79HLZtfFqSdBHBhbU5M",1771072199,0,4633.08,0,0.000002464,419,89,0,false,false,false,"dexscreener",53,18,10,0,25,0,41.9
"5qKPEeunXdGTizv3XncFfaDue2E4R6MBdezv7acCpump","Unvexed","Unvexed","BbsvekwobWvaRe1aQDPesxLACwU5BXDYb4qTSPPQpBxP",1771109513,0,2909.6,0,0.000002836,58,39,0,false,false,false,"dexscreener",53,15,13,0,25,0,31.5
"GVrqgo9swZohkLnDqdADqnsf76N8z6ZUrvgGdDo5pump","inu","i need u","5Rmv15yjUCEUvrEBtNyn57QCCoTteQtfCsTVb4r23jBe",1771068453,0,1356.16,0,0.000002431,32,23,0,false,false,false,"dexscreener",53,15,13,0,25,0,42.9
"26GKrCrCsK8bEs3sS8YUtED4y2eTeUz6xRHsQGvpBAGS","CLAW","ClawMission ","F2KegcnNTHt1DWchkeHfjFM44W4nrGLLxpBhZRSSJtJd",1770560076,0,8902.65,0,0.000002566,70,60,0,false,false,false,"dexscreener",52,12,15,0,25,0,184.1
"G2E8vD3kqLGuiQPwR2jcbVxEgsmpmHhL7k5qPmZBBAGS","COOKED","COOKED","Hbj4GtXzYhiHsYz4QW3LuQhqoAHxHwNXFio6mjcZjvcz",1771067666,0,7671.71,0,0.00000252,39,38,0,false,false,false,"dexscreener",52,14,13,0,25,0,43.1
"5fUiV19S4kTGSG5qoWyz3Saq95kP51yfug6wtrABpump","PENG","PENG","D8BgshNr6xijCWmDL6WxC3F5HXcnJu4sifKbRJMCHZna",1770940887,0,4482.09,7.03,0.000008639,55,51,0,false,false,false,"dexscreener",52,12,15,0,25,0,78.3
"JCPmmcXP8zZbQ7H6Hg5D2NjYizQ8vGsQQCuXhGN5pump","INU","I Need U","DbvuBAqxvWqKjSUiZQtuxFttdfRkUDXJGPqv1DUQercK",1771069292,0,4039.12,0,0.000002426,32,33,0,false,false,false,"dexscreener",52,14,13,0,25,0,42.7
"GbnpbVPU7Ae82EWSQQCBRhn1R3GqEUdiX4sv2VC3pump","WIF","Wallahi Im Finished Official","AjgimkyFfd9NhgBdFkJqPKvd5BkPKtwwbGkPArTYGqWF",1771120177,0,3966.66,0,0.000002502,40,27,0,false,false,false,"dexscreener",52,14,13,0,25,0,28.5
"2HF9LzenLFwsYuK55pPXgXvpP56D15dzGPMeiEp9pump","INU","I need U","7VRwTMfj68W5ZXfbHhdiLkXWpMj7qKxR5ytS7e2tjYL1",1771083148,0,3121.52,0,0.000002446,42,36,0,false,false,false,"dexscreener",52,14,13,0,25,0,38.8
"9GJNFe6GAhWnez6qrYs8TqnExn8b3AsvqcBjboocpump","BULL","BULL","DoPBxTNcrXqyJsUr1w18KBdCTedmJauQBqWGkbgLEWRu",1771095619,0,2780.67,0,0.000002458,19,15,0,false,false,false,"dexscreener",52,14,13,0,25,0,35.4
"8QSXsEp4X1Hm91bM3euYz3yR4eNSxdaY9bcPGVjTBAGS","INU","I'am Now Useless","9Rbg5zUJW4xE1DTUxonJuCDz4HPFEZESXft33Xr51yQF",1771057372,0,1312.6,0,0.000002495,14,10,0,false,false,false,"dexscreener",52,14,13,0,25,0,46
"86qsptCxbXk8sT7PrYuM1AfxJXDFz8kiyW4nJD1upump","nft","Nice fat Tits","Cha3iJj2xZfkWRp6NQqo8iCGJR78DhhmihmqPEwQ43Cv",1771071795,0,1171.94,0,0.000002466,17,14,0,false,false,false,"dexscreener",52,14,13,0,25,0,42
"HAnSdJrDCGKuSVrVU9TPUaSdr5CcWGJDqsaUAxrspump","NFT","Nice fat Tits","7Zgb6hiz6zQ1DsKtwV679vHj2EeXVS7rGheVwKG49LBS",1771071655,0,1123.07,0,0.000002437,15,12,0,false,false,false,"dexscreener",52,14,13,0,25,0,42
"6wvfcEj2z7BdH6nxteVLPpYDh7EgsRLtubaZ4NrGpump","FROGX","FROG","BKFZEXg3zFYUHsS9WG68rkKC19KU6wfTXmddNVdEmGww",1771066603,0,223.52,0,0.000002995,34,27,0,false,false,false,"dexscreener",52,14,13,0,25,0,43.4
"244ThmQGo1cqSiWgFFa576o8GMGoNy5tfC3FR7ETvkWz","IO","ICE Out","BxuRKHd3HZYRaSbE287Wi2iwkzSFV9NFmLme8wN2Zvzh",1771137629,0,22350.54,0,0.000004828,19,7,0,false,false,false,"dexscreener",51,16,10,0,25,0,23.7
"EB243VR7X4DkE7fc895o5icbPvQFuWgD3nPrLMWBAGS","PTSD","PTSDshow","7XLtfVW7tscdxKYBABH1jwuHkKoyMRuCGLEVzwVfSiAq",1770916116,0,4996.58,0,0.000004642,52,39,0,false,false,false,"dexscreener",51,13,13,0,25,0,85.2
"DbiJFNAQL1hGnw3sHMwS68hfaXmmXpyXRvHjFqfzpump","ZERO","SEND THIS TO ZERO FCKIN SNIPERS","F9X9D9QKyVpLDoQ3d9HZwwUbAnC5RXW76e8LCbXzWXVi",1771091974,0,4270.68,0,0.00000246,23,23,0,false,false,false,"dexscreener",51,13,13,0,25,0,36.4
"9Zj6DX9La7Bc4qCLzVp3uYwidE9LsJVQErnta8ipump","Bull","The Charging Bull","GjwdKizbdCU2bkGZ4oMUnk3taQMhgMTz8zPg8bLJKthV",1771099935,0,3680.43,0,0.00000246,30,28,0,false,false,false,"dexscreener",51,13,13,0,25,0,34.2
"3h6etZiVHhjgGGFvpHuAYPbzNx7gY1YutE4c1CFYpump","INU","In U ","HvPMgdSXGJbQ3k8JU5DnhQ9FbXFi4RmNE9PYtJa8GmFx",1771089665,0,3021.94,0,0.000002465,29,28,0,false,false,false,"dexscreener",51,13,13,0,25,0,37
"FAborjDrsrdx7xnoEYTtJuJd8QAbHBZkaq4CYgENpump","EAGLE","the eagle","6JZfJTRpSqYRp1z4Lh7dSAdirWe1T4VZNsASEWdhkaB8",1771081576,0,2716.52,0,0.00000244,19,19,0,false,false,false,"dexscreener",51,13,13,0,25,0,39.3
"Ge4h1pLsjwLvCf5zNocaxjzoQBV6RQKxbhYPFDGGpump","INU","In U","5bTLLcG58MmfKXDw5QaTqffffWPSVQqYfEdUUgjntCpu",1771060962,0,2623.49,0,0.000002405,28,26,0,false,false,false,"dexscreener",51,13,13,0,25,0,45
"4qfq3GKg4mqQd7rAnuAChR24Vep9RqUpKjZXETampump","INU","In U","7hdc4U3Sr5kA6LZ3W6f2WxD9ciRSzFSb45dj4Yxw2uHk",1771078813,0,2267.01,0,0.00000243,16,17,0,false,false,false,"dexscreener",51,13,13,0,25,0,40
"Eu43GdoRq5sfuKtos8aU7YKd2XbSeTRUGi4fi4M8BAGS","INU","IM NOW USELESS","EzbzaBdkoQxJLF7C8opYJNAQpSET1eJ39Bi97WJ5sVzo",1771060104,0,2158.52,0,0.000002503,11,11,0,false,false,false,"dexscreener",51,13,13,0,25,0,45.2
"CgMV1EFcvogtu5RQfTGC9wXBGUgWmd17iRnWyj7Apump","INU","In U","ChZyaqgygGdkYr6u46jHK2tKFntbtAUR2ZZUaLTwkFfa",1771082724,0,1690.32,0,0.000002502,12,12,0,false,false,false,"dexscreener",51,13,13,0,25,0,38.9
"BD7J2Qgj6ah4UFt5kexq4WfkjvYmM8VcmMzxAdBUpump","inu","inu in u","CHvFjqzGRXUkTqhYhmgYRWgn4md47fLLTKJyfae17Q1m",1771070881,0,1686.87,0,0.000002438,11,11,0,false,false,false,"dexscreener",51,13,13,0,25,0,42.2
"Cic69brY6uoRYBWqEMtviLR5t8xc4Wgr4oZdqmNPpump","Rocket","RLCS","Cd6BszZoPkYjuUb7FqJ8yuPJLVuhkcWWQDqVisZmqpLJ",1771110955,0,1397.41,0,0.000002597,13,12,0,false,false,false,"dexscreener",51,13,13,0,25,0,31.1
"3ittWvmXCy8z4LdPALkbnnn7QYGUH3xrVnfUfpQNpump","SNIP","American Sniper","BAQXAv14xVKiimLd4gaYwW3w1EKwdKc3uMer5Pcej1zD",1771099157,0,673.12,0,0.000001044,31,29,0,false,false,false,"dexscreener",51,13,13,0,25,0,34.4
"5eopKSipkqGt4dcyiM7XcfN2SwzNG4yVvKAvkpNocztc","HYPER","Bitcoin Hyper","3Qhxz6WoMpXcB2q9fSj5pa6Hu75TGqMUiifTfgJkCoby",1771075358,0,34115.13,0,0.000005701,74,12,0,false,false,false,"dexscreener",50,19,6,0,25,0,41
