mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm","$WIF","dogwifhat","EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx",1700511004,5719343.0041,873402.033301049,0.228,0.24778134175743155,1336,1018,0,true,true,true,"geckoterminal",91,21,20,25,25,0.153,19642.2
"HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3","PYTH","Pyth Network","9n3dSLrERZQp95dHXywft7xV8D8xnGFLaUHtEhQVaXaC",1700462988,248467.8,1066428.6,0.6,0.05739,2728,2631,0,true,true,true,"dexscreener",87,20,20,25,22,4.292,19655.5
"DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263","Bonk","Bonk","3ne4mWqdYuNiYrYZC9TrA3FcfuFdErghH97vNPbjicr1",1671570231,1016287.96,30065.53,-0.16,0.000007098,529,637,0,true,true,true,"dexscreener",83,16,17,25,25,0.03,27681.3
"So11111111111111111111111111111111111111112","SOL","Wrapped SOL","Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE",1688567642,26167814.7661,110869074.072971,1.205,90.94661981697706,22299,25298,0,true,true,false,"geckoterminal",81,20,20,16,25,4.237,22959.8
"JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN","JUP","Jupiter","C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg",1706516558,1476267.2734,3075427.1488407,-1.68,0.17223956407512953,624,811,0,true,true,false,"geckoterminal",76,18,17,16,25,2.083,17974
"orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE","ORCA","Orca","Hxw77h9fEx598afiiZunwHaX3vYu9UskDk9EpPNZp1mG",1669603299,304907.5,347826.11,0.2,0.828,673,609,0,true,true,false,"dexscreener",73,18,17,16,22,1.141,28227.7
"7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU","SAMO","Samoyed Coin","Epvp7qMYAF21VVjacdB3VfKn6nnXQSF4rGYu8sD6Bkow",1669603374,114643.4,6029.48,0.33,0.000509,320,88,0,true,true,true,"dexscreener",72,16,12,25,19,0.053,28227.7
"4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R","RAY","Raydium","6UmmUiYoBjSrhakAobJw8BvkmJtDVxaeBtbt7rxWo1mg",1669602311,3741115.03,348962.34,4.87,0.6741,1105,753,0,true,false,false,"dexscreener",70,20,17,8,25,0.093,28227.9
"TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6","TNSR","Tensor","7LqL8hDYVYBgoif19fSozZurxm3ve129tfkftz6WdFkR",1712506854,67010.51,5511.15,0.51,0.0552,202,187,0,true,true,true,"dexscreener",69,13,15,25,16,0.082,16310
"jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL","JTO","JITO","G2FiE1yn9N9ZJx5e1E2LxxMnHvb1H3hCuHLPfKJ98smA",1701883605,738513.11,102836.46,-0.47,0.2866,558,518,0,false,false,false,"dexscreener",60,18,17,0,25,0.139,19260.9
"rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof","RENDER","Render Token","FZ8MJvdTPbp8juhtFCCzb7LsKunhexgzShGQ59SUJkNL",1699302650,658465.04,580640.57,0.29,1.44,470,600,0,false,false,false,"dexscreener",59,17,17,0,25,0.882,19977.9
"MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey","MNDE","Marinade","BVXNG6BrL2Tn3NmppnMeXHjBHTaQSnSnLE99JKwZSWPg",1669602437,370873.74,2591.92,-0.12,0.02616,11,19,0,true,true,false,"dexscreener",58,10,10,16,22,0.007,28227.9
"hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux","HNT","Helium Network Token","91axdGmMoqQQg2MPUXKxT3bdqX4p2RMLXqZSQgXn2JpM",1681883201,925650.3222,840319.981188987,-2.452,1.1839917357172034,1189,2817,0,false,false,false,"geckoterminal",57,19,13,0,25,0.908,24816.6
"DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7","DRIFT","Drift","7u3wk63dbFfN6WUdxpJ6SDNMwDixK1ti2J3Q21ws5Vxs",1715786071,87705.51,27873.36,-1.15,0.09828,437,445,0,false,false,false,"dexscreener",48,15,17,0,16,0.318,15399.1
"StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT","STEP","Step","4Sx1NLrQiK4b9FdLKe2DhQ9FHvRzJhzKN3LoD6BrEPnf",1669603285,76731.95,9371.25,0.02,0.00106,202,289,0,false,false,false,"dexscreener",43,12,15,0,16,0.122,28227.7
