mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"BeFtLwLtS9Rva12KrHKRMY1H5WoeM1Y2ULMnNJKopump","BINDER","BINDER","5EeexKFyRK3wxNZCY4ePhRwdCkjbbbw9AmtvfUQtCBWD",1771010683,178690.4236,621561.527795165,-2.272,0.004665353191129929,1869,1311,0,true,true,false,"geckoterminal",78,23,20,16,19,3.478,59
"Dza3Bey5tvyYiPgcGRKoXKU6rNrdoNrWNVmjqePcpump","UNSYS","Uncertain Systems","Ciw1yZj1YCTm4AXeKiuhNtCGSNRV2WePHm4bgaPGnA5J",1771043630,111930.15,2897580.3,14.86,0.001451,11054,10102,0,true,true,false,"dexscreener",77,22,20,16,19,25.887,49.8
"2wP76beSJ8NB8bgFEkZkQCGtWErxqkxTYEGjx9jYpump","BOOTSTRAP","Bootstrap","5dwLeCaWazfM9Naa1wkskF76sxx6zM8NJKQTv3o65u4G",1771094813,63760.51,686202.27,-19.26,0.0004619,4675,3884,0,true,true,false,"dexscreener",75,23,20,16,16,10.762,35.6
"AhU5zEZLieEpP3bhvsjmWqWJScX7pDsFs6XPc9FGbonk","LinhMai","Linh Mai","82zo2tjdydRWqrgv5TE3NgtU69bgTZk5xfznCrPAhbdN",1771011303,57059.38,291801.56,6.89,0.0003353,1781,1528,0,true,true,false,"dexscreener",73,21,20,16,16,5.114,58.8
"Rfe9sg18cPCPzpxBj6VzTomANPpDeUDc5w7RdSXpump","torch","torch","8LnZNKqppKKXL6LaW7awdPP2hJTUhY4HShzPmMd6eSoo",1771128267,56653.85,1011605.9,51.65,0.0004449,8448,7249,0,true,true,false,"dexscreener",73,21,20,16,16,17.856,26.3
"5fFzyj6Mc7A2ECT7ae18YvTT7d6JoPiY8KWoqXzXpump","PUMPID","Valentinesmaxxing Romancegooner","2LJNW5CSwHXRQEmcLyv5YLuLPMdDcGL1aMbsbRW1dhyG",1771109948,411342.61,1484936.07,9.94,0.02586,15210,12726,0,true,false,false,"dexscreener",72,22,20,8,22,3.61,31.4
"EMMiGudXs9cHBixn6PDohLo4vNvVhXwTfoBnApanpump","TRUMP2","trump2","6HRJAwjHmN2qWfPYVJ2KtyzAYNDkfhhkSPjdwo7Dv1Zv",1771129509,612090.45,1368169.76,26.15,0.05772,10875,5577,0,false,false,false,"dexscreener",67,22,20,0,25,2.235,25.9
"Ts8rhodMwqYgCxJcLcBD2YWDL5jNSyD6wjLTSzVpump","FEB14","Fondle Every Boobs","3GyKoyLSZ4mAqUWKyFhCiRvt3MWa16YSnr6HJbJrX7eX",1771120993,1251441.35,1012343.65,0.93,0.001818,13916,14293,0,false,false,false,"dexscreener",66,21,20,0,25,0.809,28.3
"9X8VSUD8yhYbHtR3KdKeCvnb7TNfgTKMFufgpCympump","right","we're curing cancer, right?","6oBFSmJKSzqZmX7YMzwNo4uZkAkhqe6nav3x1cceB5Po",1771039238,53341.8422,2272138.222238,-19.242,0.0003312123660020501,16260,13697,0,true,false,false,"geckoterminal",66,22,20,8,16,42.596,51
"2Zxpdg1rypAL7tQhwUYSy4rLCF6eFKkCwV69zrgPeAZx","BOTCOIN","BOTCOIN","8GAyKu61xxjsP7HXyVjroihSzR366ggiNhh28QeHFKe2",1771117755,323249.8054,17860575.0396724,0,0.00027208516061658956,17802,14054,0,false,false,false,"geckoterminal",65,23,20,0,22,55.253,29.2
