mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"231jtP1Uv76TqtByJji3QNpwgvLsk7Pr4oDQjXB25sLg","HUNT","Travis hunter","8NocwWetVHNZqhZqvy7achiBeTWhsiC9qfWZAtgaPXFw",1771143628,25161.6675,12848.7941999399,177.135,0.000022936799521666722,428,108,0,false,false,false,"geckoterminal",42,15,14,0,13,0.511,0.1
"2iutGoKbGDVtpQyGyFpcBxB2JW8GLE9x3rnSkQp7m9QG","MOGGED","Mogged By Clav","D5LGrGotGych8RWrq8oVRKwsGutY2buAfL9WEiE41DBg",1771143585,59603.291,132176.041843642,18.755,0.00004065972965489645,152,99,0,false,false,false,"geckoterminal",46,15,15,0,16,2.218,0.1
"4h1nSqRtysEL8WT16JFukftRUC8DS3Rg13MtzSZjWXRb","马头","马头","4wkoiCd8ZPUn365XPKb2vxNSeQL7AWByh4ZwcUzTtKg6",1771143482,199372.8933,778.8331484344,83.987,0.00020881175394988805,29,0,0,false,false,false,"geckoterminal",35,10,6,0,19,0.004,0.1
"74yXMBuAShhXPXES38j5cM3xgv9MR3HZv4QYHsyqAvjq","ICED","Iced Dog","B7rpehxdA9JEt4ENGgDbawbRw17Runm9occToPrMbrET",1771143448,51275.016,266385.964834453,87.454,0.00003575509231267006,649,522,0,false,false,false,"geckoterminal",49,16,17,0,16,5.195,0.1
"EKsWCSCKruxuacbUbCS7ct8K134uJQJqeV7Hch2fgR2A","Asahi","アサヒ","3aX8MYobrxi4pArnL4FRgjuzLmwTSDhfH1wT7UcBzZxH",1771143427,30883.5965,35629.6193346817,270.843,0.000029977693863033166,1256,340,0,false,false,false,"geckoterminal",44,17,14,0,13,1.154,0.1
"TGSyDK8MWxpy2zCGiCGR49vnD74mxt8qseWvcJLWXZb","HUNT","Travis hunter","J3y81HdRSw8q8HVEGsaBKwfAoqFmEt2UoPEjfAusPM62",1771143414,27704.9889,16868.5800278004,215.918,0.00002475137968598962,579,144,0,false,false,false,"geckoterminal",39,16,10,0,13,0.609,0.1
"EZipQWxhvf2xF7QvVfqBWVmVG83yifSULvxwm1r9Tayf","LILPEPE","LITTLE PEPE","4DRz7Vnf6kKzKtfcMxBTz2TKiqzmj4Uabi6K9555FJMs",1771143273,32037.6721,23140.4555189207,-89.063,0.000004937104605641183,21,7,0,false,false,false,"geckoterminal",35,12,10,0,13,0.722,0.2
"DDZXHaPn4W33SG8yH8M15abWNtiaRfbWTvzqwHLKasZB","MINERALS","minerals stockpile","BhgbD44gUZbTMM7KcdL6yjVDNP95UBZ8H23doe13q6mD",1771143255,31559.4661,22630.1328524222,-89.193,0.000004879615034423467,23,6,0,false,false,false,"geckoterminal",36,13,10,0,13,0.717,0.2
"A7Wh2EEGDtVFUuhtbXQm7r5nBkHryaeR7J9vikJrpump","wifjuice","wifhat wifjuice","HXkBvFySsEDwvHEqf5Z2Fusv33jut9rAQ6LSfqobq28",1771143230,20598.5804,76605.0846827498,77.25,0.00007757041383907782,609,355,0,false,false,false,"geckoterminal",42,15,17,0,10,3.719,0.2
"8uuFhRCWapDoRREiBZ8XqS3gN76TxS5KGHeQh4rFNSLF","C1ON","BFS COIN","CDNqndggfH7oFmxbYn8c48eFeGVrUHYpYKetks5KoET6",1771143200,7979622.286,1007.8287386523,-0.804,0.001983548240709294,1,1,0,false,false,false,"geckoterminal",42,6,11,0,25,0,0.2
"GXbupo8rgRtpmNK1yYXqDivLomgAAYNJ3iQnHAFY5XUX","00","Pim Neill","4HSq9NpojJmGkef4USGPoh27xsBgNcfuoknxQ7K3gqgL",1771143163,1176881.765,1012.2415802897,-0.353,0.00029402902662356665,2,0,0,false,false,false,"geckoterminal",36,7,4,0,25,0.001,0.2
"4RyRTfUHhNegoEZSNBTWkKy1UM5vtNjKW4mAyGk9tn1q","Asahi","アサヒ","3vYHsU9goGLDwHkUF1k3MbJamBcY5EPmqBU3EVYRRakL",1771143158,31904.3634,136323.527103535,280.395,0.000027506365591835496,2890,1362,0,false,false,false,"geckoterminal",51,18,20,0,13,4.273,0.2
"AW478MPwJGq3UZ2BMstjEc5ucwLqMaCZbvy2vcf1sbqC","LUCKY","LUCKYHODL","9wxNwS3jAXsPJDK53sfKR6ahdPkwxMqXj7iVSxGtbD23",1771143100,60020.5558,80804.5624951431,81.027,0.00003826644349682227,183,140,0,false,false,false,"geckoterminal",45,14,15,0,16,1.346,0.2
"5QxgeGq1gpgp2yvZJjvkYZ97Ucy7YpRSJR5S38Qyujce","USOR","U.S. Oil Reserve","7Woirx2sYFURAYUz4zUoxHPApoi7E3iKUNKYNdtqYpaw",1771143058,77711.4346,297320.493906158,47.062,0.00004744780836602003,836,702,0,false,false,false,"geckoterminal",48,15,17,0,16,3.826,0.2
