mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"Cwz7GVz5tbYGRWuCdeXNGZokkBYv3Gj3ZoRPCZCpump","Pim","Pim Neill","GMe1JPYs5qy1ZiMmvJQn8SU3xkjC8AkyVShpZFY22kR1",1771143685,196682.227150174,1177.0469881546,0,0.0001966792771577222,1,0,0,false,false,false,"geckoterminal",29,6,4,0,19,0.006,0.1
"9cLZDjq6eLGqTnMsPe28k6kVaGo8ahQ1yzN7DrpXpump","LOX","Launch On X","FMnuwKm4ArHcizCcc14rRHv2mDVEeodKWKpBHehU2Ys4",1771143680,373703.561543961,1493.9441244326,0,0.0003744467888558223,1,0,0,false,false,false,"geckoterminal",32,6,4,0,22,0.004,0.1
"94QsW2g3vSPVqAB8WGbtLdrCnvLzheVE7xUe417rPfKy","BARRON","Official Barron Trump","DknNkgvSZtHVL9zCvZrBUyqhPbhfRaSb4Cm1iMqPCyAM",1771143676,28241.9017885646,97.1352575734,-3.94,0.0000441320956009135,1,2,0,false,false,false,"geckoterminal",25,4,8,0,13,0.003,0.1
"Ftiypp9CSQ1ba55B6if4xAx2nNNHAvN6HaLn4eNVCsXE","Asahi","アサヒ","D1G4z13KEDdTYCRWhNpsnSjEHM7fHHrRH793VBdnb6jV",1771143672,18681.8313405201,2.1370650782,0.038,0.000011375058775342917,3,0,0,false,false,false,"geckoterminal",21,7,4,0,10,0,0.1
"7RCWVQgmxabmbzGaK5TnSe6a7FdgE7GaVdd1UQakUbqE","LOX","Launch On X","8pDtQVf2j9t24w6rSM6dPRfeSVdcLWqVaHBTg4UbyFcJ",1771143656,15420.4925,4173.1145456243,116.188,0.000029655126823067964,14,3,0,false,false,false,"geckoterminal",25,11,4,0,10,0.271,0.1
"231jtP1Uv76TqtByJji3QNpwgvLsk7Pr4oDQjXB25sLg","HUNT","Travis hunter","8NocwWetVHNZqhZqvy7achiBeTWhsiC9qfWZAtgaPXFw",1771143628,25161.6675,12848.7941999399,177.135,0.000022936799521666722,428,108,0,false,false,false,"geckoterminal",42,15,14,0,13,0.511,0.1
"7E1P1N1cck6VAQzQaCMSo6dxYqDT8DbQXXvBoEbLfsWC","PayPal","PayPal","emaNHtTR9VRj4GoAkrGZrUvQeUv2cFvuTVqZWhBAoY5",1771143587,60963.5695,480.5218718162,483.118,0.00006652340542657981,20,0,0,false,false,false,"geckoterminal",30,10,4,0,16,0.008,0.1
"2iutGoKbGDVtpQyGyFpcBxB2JW8GLE9x3rnSkQp7m9QG","MOGGED","Mogged By Clav","D5LGrGotGych8RWrq8oVRKwsGutY2buAfL9WEiE41DBg",1771143585,59603.291,132176.041843642,18.755,0.00004065972965489645,152,99,0,false,false,false,"geckoterminal",46,15,15,0,16,2.218,0.1
"9ZaNMHpJYqXH1PbLn1pKDbRfAFGoZLefGBEDzGBBi9YY","BANKR","Bankr on Sol","5GXhC8KpzHp21yLZS56ZqLpergsQdgUxjzY7Y6wziGAy",1771143575,32168.1585,11839.4331726528,301.461,0.00006152227984673205,24,3,0,false,false,false,"geckoterminal",32,13,6,0,13,0.368,0.1
"FcCH2oNB2bUztjGtDGGxLJAsSdMtmQyeBq1TJa8i2nNS","Poopoo","Poopoocoin","A6s8XyBZ7X4vpt8uhVrKrZSPpUfBoBWCzPMWbLx3zEYy",1771143549,35100.0289,13611.7426254655,378.432,0.00006970492934725494,35,2,0,false,false,false,"geckoterminal",33,14,6,0,13,0.388,0.1
"4h1nSqRtysEL8WT16JFukftRUC8DS3Rg13MtzSZjWXRb","马头","马头","4wkoiCd8ZPUn365XPKb2vxNSeQL7AWByh4ZwcUzTtKg6",1771143482,199372.8933,778.8331484344,83.987,0.00020881175394988805,29,0,0,false,false,false,"geckoterminal",35,10,6,0,19,0.004,0.1
