mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm","$WIF","dogwifhat","EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx",1700511004,5719343.0041,873402.033301049,0.228,0.24778134175743155,1336,1018,0,true,true,true,"geckoterminal",91,21,20,25,25,0.153,19642.2
"J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr","SPX","SPX6900 (Wormhole)","9t1H1uDJ558iMPNkEPSN1fqkpC4XSPQ6cqSf6uEsTfTR",1703129888,1690435.94,600223.21,-0.03,0.3366,3188,2434,0,true,true,true,"dexscreener",91,21,20,25,25,0.355,18914.7
"Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump","pippin","Pippin","8WwcNqdZjCY5Pt7AkhupAFknV2txca9sq6YBkGzLbvdt",1731184061,16981235.5849,27559168.2930182,-2.103,0.6861424990291243,28127,28966,0,true,true,true,"geckoterminal",90,20,20,25,25,1.623,11121.9
"7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr","POPCAT","Popcat","FRhB8L7Y9Qq41qZXYLtC2nw8An1RJfLLxRF2x9RwLLMo",1702415044,3585592.38,1522178.17,1.01,0.0584,2387,2649,0,true,true,true,"dexscreener",90,20,20,25,25,0.425,19113.3
"ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY","MOODENG","Moo Deng","22WrmyTj8x2TRVQen3fxxi2r4Rn6JDHWoMTpsSmn8RUd",1725994387,2922822.28,2077060.74,-0.42,0.0617,4922,5162,0,true,true,true,"dexscreener",90,20,20,25,25,0.711,12563.5
"6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump","VINE","Vine Coin","58fzJMbX5PatnfJPqWWsqkVFPRKptkbb5r2vCw4Qq3z9",1737591763,2196993.0875,1119647.62936552,-0.043,0.020572157091636126,2919,3151,0,true,true,true,"geckoterminal",90,20,20,25,25,0.51,9342
"61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump","arc","AI Rig Complex","J3b6dvheS2Y1cbMtVz5TCWXNegSjJDbUKxdUVDPoqmS7",1733865287,3844934.2404,1745870.92547144,-1.178,0.07676912432839753,3063,4132,0,true,true,true,"geckoterminal",89,19,20,25,25,0.454,10377.1
"63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9","GIGA","GIGACHAD","4xxM4cdb6MEsCxM52xvYqkNbzvdeWWsPDZrBcTqVGUar",1704403186,1462106.67,296938.35,1.07,0.002503,1598,2024,0,true,true,true,"dexscreener",88,18,20,25,25,0.203,18561
"DpBzjtgGLF7QA9Ug3eUVGbnqa6j3jvYBn1XuQuktvfhm","DOGE-1","DOGE-1 Satellite","2fckuYXUrwbA9LHKMP1az5DTFstFrRjqqbBstz7yvVXL",1755029293,208249.69,172563.6,1.61,0.0006869,1461,708,0,true,true,true,"dexscreener",88,21,20,25,22,0.829,4498.2
"A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump","FWOG","FWOG","AB1eu2L1Jr3nfEft85AuD2zGksUbam1Kr8MR3uM2sjwt",1722303257,1599192.67,216667.91,1.98,0.00701,980,1258,0,true,true,true,"dexscreener",87,17,20,25,25,0.135,13588.8
