algo_id,total_trades,win_rate,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expectancy_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,avg_duration_hours,median_duration_hours,sl_hits,tp_hits,trail_stops,expired,end_of_data,dual_trigger_bars,expiry_exits_below_entry,best_day,worst_day
"xstock_intraday",40,25,88.66,-9.06,97.79,-9.35,3.26,15.37,614.82,5.48,-4.34,15.18,9,28,9,0,3,0,5,2,"2026-02-14","2026-02-01"
"bluechip_trend_follow",42,42.9,26.91,-6,28.35,-6.37,3.36,8.11,340.43,7.78,-2.28,28.19,1.25,22,16,0,0,4,0,0,"2026-02-06","2026-02-05"
"bluechip_breakout",42,42.9,26.91,-6,28.35,-6.37,3.36,8.11,340.43,7.78,-2.28,28.19,1.25,22,16,0,0,4,0,0,"2026-02-06","2026-02-05"
"micro_cap_surge",94,57.4,16.87,-11.33,18.43,-11.33,2.01,4.87,457.48,5.38,-7.19,0.5,0.25,40,48,0,2,4,2,0,"2026-02-14","2026-02-15"
"sol_veteran",71,60.6,13.35,-9.03,13.47,-9.35,2.27,4.52,320.96,6.52,-3.74,19.38,9.5,27,42,0,1,1,0,0,"2026-02-06","2026-02-05"
"utility_swing",71,60.6,13.35,-9.03,13.47,-9.35,2.27,4.52,320.96,6.52,-3.74,19.38,9.5,27,42,0,1,1,0,0,"2026-02-06","2026-02-05"
"momentum",68,45.6,22.05,-10.91,23.39,-11.33,1.69,4.12,279.95,3.91,-7.39,9.87,5.08,35,28,0,3,2,0,0,"2026-02-13","2026-02-09"
"hybrid_b",68,45.6,22.05,-10.91,23.39,-11.33,1.69,4.12,279.95,3.91,-7.39,9.87,5.08,35,28,0,3,2,0,0,"2026-02-13","2026-02-09"
"prestock_speculative",23,69.6,9.08,-7.85,10.49,-11.33,2.64,3.93,90.32,7.34,-2.36,195.09,186,4,13,0,1,5,0,0,"2026-01-11","2025-12-30"
"elite",89,50.6,18.1,-11.33,18.43,-11.33,1.63,3.55,316.02,3.81,-5.31,0.63,0.25,44,44,0,0,1,2,0,"2026-02-14","2026-02-13"
"let_it_ride",56,44.6,21.91,-11.33,23.39,-11.33,1.56,3.51,196.49,3.3,-7.28,9.38,5,31,23,0,1,1,0,0,"2026-02-13","2026-02-10"
"bags_dip_buyer",65,47.7,16.88,-8.79,23.39,-9.35,1.75,3.45,224.55,3.79,-4.24,3.18,1.83,27,21,0,14,3,2,5,"2026-02-13","2026-02-15"
"established_breakout",18,55.6,13.47,-9.35,13.47,-9.35,1.8,3.33,59.89,4.66,-2.36,3.89,2.17,8,10,0,0,0,0,0,"2026-02-13","2026-02-15"
"meme_classic",73,56.2,13.16,-9.35,13.47,-9.35,1.8,3.29,240.21,4.64,-5.47,8.53,1.83,32,40,0,0,1,0,0,"2026-02-06","2026-02-03"
"bags_fresh_snipe",28,35.7,28.35,-11.16,28.35,-11.33,1.41,2.95,82.58,2.47,-4.72,1.21,0.67,17,10,0,0,1,0,0,"2026-02-14","2026-02-15"
"volume_spike",80,53.8,13.47,-9.35,13.47,-9.35,1.67,2.92,233.24,4.07,-8.04,2.35,1.25,37,43,0,0,0,0,0,"2026-02-15","2026-02-08"
"bags_momentum",23,34.8,28.35,-11.13,28.35,-11.33,1.36,2.6,59.88,2.2,-4.81,1.16,0.67,14,8,0,0,1,0,0,"2026-02-14","2026-02-15"
"pump_fresh_tight",98,45.9,18.21,-11.14,18.43,-11.33,1.39,2.34,229.32,2.53,-6.19,0.41,0.17,52,43,0,0,3,2,0,"2026-02-15","2026-02-14"
"bags_aggressive",58,34.5,20.62,-8.31,23.39,-8.36,1.31,1.67,96.7,1.85,-4.36,1.64,0.75,36,17,0,2,3,1,0,"2026-02-14","2026-02-15"
"bags_value",40,52.5,8.22,-6.37,8.51,-6.37,1.43,1.29,51.49,2.78,-2.52,0.58,0.25,19,20,0,1,0,3,0,"2026-02-15","2026-02-13"
"bags_conservative",40,52.5,8.22,-6.37,8.51,-6.37,1.43,1.29,51.49,2.78,-2.52,0.58,0.25,19,20,0,1,0,3,0,"2026-02-15","2026-02-13"
"bags_elite",40,52.5,7.27,-6.37,7.52,-6.37,1.26,0.79,31.65,1.83,-2.52,0.55,0.25,19,20,0,1,0,3,0,"2026-02-15","2026-02-13"
"bags_bluechip",51,51,7.06,-6.13,7.52,-6.37,1.2,0.59,30.28,1.4,-2.53,1.86,0.33,23,24,0,4,0,3,2,"2026-02-15","2026-02-03"
"index_intraday",10,40,6.72,-4.11,18.43,-7.36,1.09,0.22,2.22,0.48,-1.4,530.4,744,3,1,0,6,0,0,1,"2025-10-11","2025-10-05"
"index_leveraged",10,40,6.72,-4.11,18.43,-7.36,1.09,0.22,2.22,0.48,-1.4,530.4,744,3,1,0,6,0,0,1,"2025-10-11","2025-10-05"
"xstock_swing",47,10.6,4.28,-3.29,6.71,-3.4,0.16,-2.48,-116.78,-16,-11.68,19.53,4,40,0,0,6,1,0,0,"2025-12-01","2026-01-05"
