algo_id,folds,total_trades,validated_trades,pass_folds,fail_folds,pass_rate,sample_band,status_label
"elite",5,89,75,5,0,1,"ROBUST","EXPERIMENTAL"
"let_it_ride",5,56,11,1,0,1,"ROBUST","EXPERIMENTAL"
"sol_veteran",5,71,60,5,0,1,"ROBUST","EXPERIMENTAL"
"utility_swing",5,71,60,5,0,1,"ROBUST","EXPERIMENTAL"
"meme_classic",5,73,61,5,0,1,"ROBUST","EXPERIMENTAL"
"bags_value",5,40,10,1,0,1,"MEDIUM","EXPERIMENTAL"
"bags_bluechip",5,51,11,1,0,1,"ROBUST","EXPERIMENTAL"
"bags_conservative",5,40,10,1,0,1,"MEDIUM","EXPERIMENTAL"
"bags_elite",5,40,10,1,0,1,"MEDIUM","EXPERIMENTAL"
"xstock_intraday",5,40,10,1,0,1,"MEDIUM","EXPERIMENTAL"
"pump_fresh_tight",5,98,82,4,1,0.8,"ROBUST","EXPERIMENTAL"
"micro_cap_surge",5,94,79,4,1,0.8,"ROBUST","EXPERIMENTAL"
"momentum",5,68,57,4,1,0.8,"ROBUST","EXPERIMENTAL"
"hybrid_b",5,68,57,4,1,0.8,"ROBUST","EXPERIMENTAL"
"volume_spike",5,80,67,4,1,0.8,"ROBUST","EXPERIMENTAL"
"bags_dip_buyer",5,65,55,4,1,0.8,"ROBUST","EXPERIMENTAL"
"established_breakout",5,18,0,0,0,0,"THIN","EXPERIMENTAL"
"bags_fresh_snipe",5,28,0,0,0,0,"MEDIUM","EXPERIMENTAL"
"bags_momentum",5,23,0,0,0,0,"THIN","EXPERIMENTAL"
"bags_aggressive",5,58,13,0,1,0,"ROBUST","EXPERIMENTAL"
"bluechip_trend_follow",5,42,0,0,0,0,"MEDIUM","EXPERIMENTAL"
"bluechip_breakout",5,42,0,0,0,0,"MEDIUM","EXPERIMENTAL"
"xstock_swing",5,47,12,0,1,0,"MEDIUM","EXPERIMENTAL_DISABLED"
"prestock_speculative",5,23,0,0,0,0,"THIN","EXPERIMENTAL"
"index_intraday",5,10,0,0,0,0,"THIN","EXPERIMENTAL"
"index_leveraged",5,10,0,0,0,0,"THIN","EXPERIMENTAL"
