mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source
"Cwz7GVz5tbYGRWuCdeXNGZokkBYv3Gj3ZoRPCZCpump","Pim","Pim Neill","GMe1JPYs5qy1ZiMmvJQn8SU3xkjC8AkyVShpZFY22kR1",1771143685,196682.227150174,1177.0469881546,0,0.0001966792771577222,1,0,0,false,false,false,"geckoterminal"
"kEjDZT984EUTdnLDNDd1mpcTm1pk4pqA7VRK8Q1pump","Spy","The Chinese Spy","Bsb2TDKEmTi4XH62j55kyadBcLnh71RtEnCg5CNHosGy",1771143684,3028.80023361911,269.6243308671,0,0.000003772225776504719,5,0,0,false,false,false,"geckoterminal"
"CHJsMnX8nvkYVhWHv9akmnZDVxfFos5Bn7proLPhpump","$PTAX","PepeTax","6eGsY9fAbkHTo6pm3GkFxQMukmzwpzF5wDpXoSVLuepC",1771143682,2145.6624621053,1.3074777066,0,0.000002716559317632639,0,1,0,false,false,false,"geckoterminal"
"9cLZDjq6eLGqTnMsPe28k6kVaGo8ahQ1yzN7DrpXpump","LOX","Launch On X","FMnuwKm4ArHcizCcc14rRHv2mDVEeodKWKpBHehU2Ys4",1771143680,373703.561543961,1493.9441244326,0,0.0003744467888558223,1,0,0,false,false,false,"geckoterminal"
"94QsW2g3vSPVqAB8WGbtLdrCnvLzheVE7xUe417rPfKy","BARRON","Official Barron Trump","DknNkgvSZtHVL9zCvZrBUyqhPbhfRaSb4Cm1iMqPCyAM",1771143676,28241.9017885646,97.1352575734,-3.94,0.0000441320956009135,1,2,0,false,false,false,"geckoterminal"
"4nzuTszSRmfp9XeKTyhWPff7ZFSEk3zAjeiuL8dkpump","CTHE","Claim The","9beJosEUAhKatfdCnbWkNk9fi24PCuP6o9ebLoiDWGgC",1771143673,2015.94249601716,95.3518630509,0,0.000002541851589412774,0,1,0,false,false,false,"geckoterminal"
"Ftiypp9CSQ1ba55B6if4xAx2nNNHAvN6HaLn4eNVCsXE","Asahi","アサヒ","D1G4z13KEDdTYCRWhNpsnSjEHM7fHHrRH793VBdnb6jV",1771143672,18681.8313405201,2.1370650782,0.038,0.000011375058775342917,3,0,0,false,false,false,"geckoterminal"
"2W4PYCfqqQV87UnPATKY2rUg6B2cQgYFg5VaGMj9pump","Asahi","アサヒ","4fZnWGC4mdp1icUQo6w66XT1QhmXbkej4YetU3CC3QTD",1771143670,0.2451,267.3152878361,-100,3.7067614768844964e-10,35,29,0,false,false,false,"geckoterminal"
"7nDZWneWBx88Mt1guPcxfKUoY5XCFnjXRqJHr3z4pump","trump3","trump3","4DbVsKFKBZnPBNvAajfkThSwQK3V3CcuZtbPmcMtuXLP",1771143668,2365.4225,340.4550769154,11.203,0.0000030088235503167878,4,3,0,false,false,false,"geckoterminal"
"CrPpn1DRuV9nE6m8VAHBHdFKL7m81tE4Znd5uSGUpump","MRBEAST","MRBEAST","7ps2nxsQHqomzroRk9cY5yQEsjdgovJVBsjo7hMhHNnm",1771143659,954.1333,11.6422843311,-66.605,6.268361565011603e-7,6,10,0,false,false,false,"geckoterminal"
"7RCWVQgmxabmbzGaK5TnSe6a7FdgE7GaVdd1UQakUbqE","LOX","Launch On X","8pDtQVf2j9t24w6rSM6dPRfeSVdcLWqVaHBTg4UbyFcJ",1771143656,15420.4925,4173.1145456243,116.188,0.000029655126823067964,14,3,0,false,false,false,"geckoterminal"
"jYQ2UhADqpjP4ABA13tTWr1WFoSq1X2DYStaP7Hpump","burger","burger","HDtPmYsLKZ1LdpWv75enF5jyUTapoe4ByGSMAZdTGttP",1771143645,912.5012,448.6037299986,-49.197,0.000001294160045975016,18,15,0,false,false,false,"geckoterminal"
"CFRko4QXCgn2bgF6exuCFPyUehUSokEfBTaiHVpTpump","Kitagawa","Marin-Chan","F5mJjj995Fge79vB3E3PE95oLsoMDzxf54XB8c1w96Fs",1771143642,2484.1511,939.041880568,7.656,0.0000032688694156247214,14,3,0,false,false,false,"geckoterminal"
"E1GzjTqUNWJAwR4vhR6g17YBCZsPfowdQmKCr2jrpump","APE","APEBAMA","BxUvFoyEjjAk8QDAR9wzsPRaZS9d7w98d6pWuGAa1qQC",1771143641,3469.8921,3753.2915701327,58.26,0.000005899313750402008,52,42,0,false,false,false,"geckoterminal"
