mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"G57mDyoMfFDsc47v4qMQWYU1mTqAuobDjt8nbotrpump","BATTLECLAW","Battleclaw","9fGvBVsHLCifotuZJBzM32U3L2RJYGVymf9ouYkWRKGS",1771134241,0,125301.39,-9.51,0.000008407,2613,1513,0,true,true,false,"dexscreener",82,21,20,16,25,0,24.6
"D8qwC81ZB9DXkZnRLtJkj7uUaz1a4nUHqynTFDCppump","鳥羽","Toba","4CNnVSErCYNLE1KK3Nh4SxHfmx67BHSFKtmj55BioFS9",1771129505,0,72968.87,-29.32,0.000003995,1105,871,0,true,true,false,"dexscreener",78,20,17,16,25,0,25.9
"Hu4PpKo62eh8GjMY9H1kGBcuGEbiYeKSp9bE5gqQpump","XingXing","XingXing The Monkey","6hh49CTYD4cRNEe7sa1pQs9owVyE12WE54fQLFmnx6Nx",1771141724,0,69854.69,35.49,0.000004066,1009,856,0,true,true,false,"dexscreener",77,19,17,16,25,0,22.6
"FC5fiewtGDB7q4kspTaBaKvBuy9Bywqh3FawEPMBAGS","CERTIFY","Cert Games","6UGKHZxhnz14vS9JRwPS8hz2ebWekb4LMt42hBLPomi8",1770972934,0,32592.47,-10.99,0.00002027,416,368,0,true,true,false,"dexscreener",75,17,17,16,25,0,69.4
"3W2Sshrh7wqfsy59g9E9oc3K2HVbFjJ2seGaE9Cypump","KYMLaunch","KnowYourMemeLaunch","4k2VgS57ak57YnntqfqoLYPXHBefHKPCjHkn8F4GC6xB",1771142131,0,24077.26,34.04,0.000004185,414,261,0,true,true,false,"dexscreener",75,17,17,16,25,0,22.4
"j14oTGeCdas1ULPfJUSqxXX48FjzjNVDTVmfcX1pump","nervy","i just get so nervy","8etMUo5A2iJpuiohS7XoBZ6qBZ2S2SNPFtTtbnaVAHPi",1771125444,0,131943.7,7.77,0.000008046,1719,1300,0,true,false,false,"dexscreener",74,21,20,8,25,0,27.1
"5wq43hTU9yDmBTcgfojX1sKkWSgZthUJKfoMJxy9pump","Broken","The World Is Broken","D3gBWWu1KoMDxi4VG7y2Q4T8JtzT1YbSMaY3eeHAVmkC",1771136411,0,81708.79,-5.31,0.000017,1141,890,0,true,false,false,"dexscreener",73,20,20,8,25,0,24
"AcqQzvHkh3EA5t3YkYoTsAdzjVRtGiuXFXaQG9Mupump","FACED","FACED","FnF782r5WiD12EhjkWKWmkvy2QqporoNszZnLRAx1XaH",1771103986,0,4408.76,82.64,0.000005428,78,39,0,true,true,false,"dexscreener",71,15,15,16,25,0,33
"Ghf6v8FZ5joVmxMSCjhgZ7LGzssCVSuCFxZLrRsUpump","eggcar","eggcar","6Rn9xomYaw3JvKqMEtaM94ogdqvRwXGvLZvwN7F4FxMv",1771140305,0,71951.18,63.02,0.000004743,1058,840,0,true,false,false,"dexscreener",70,20,17,8,25,0,22.9
"8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech","GafPGhHdZZxnrQgK6MMWFy4GP8KNcp72vy5QQmso6zCc",1770925629,0,7213.46,-5.18,0.000005636,56,59,0,true,true,false,"dexscreener",68,12,15,16,25,0,82.6
"RFsbyssq6mxdnjUmbC1EgwvaD2TXHgnNGpGufuEpump","XingXing","XingXing Monkey ","BtsbJ6b5douE2gbDEoG61793JtZpVxdy1oYCNS8aeqG9",1771133506,0,29853.45,0,0.000002597,432,383,0,true,false,false,"dexscreener",66,16,17,8,25,0,24.8
"GaRtGF9E9YxL5fhAUtWU8fWQbyU973c7Z3Hds5z8pump","REVERSAL","The Great Reversal","EtaSEnjPUxEkTF16aYGtrESfgKfdfrQfMLwQrRNd7GaM",1771140370,0,20351.85,-11.3,0.000002564,250,253,0,true,false,false,"dexscreener",66,16,17,8,25,0,22.9
"3DsdCFH1RGfaV1CUSJzbmYQ7vFSsVuEFK1tHRVAiBAGS","CHRIST","Christ Bags","3DrHmGXh9LVFFxz5yGmgm8jagHijqhXvSQyjhus1etPa",1771107201,0,13865.09,7.14,0.000006773,163,114,0,true,false,false,"dexscreener",66,18,15,8,25,0,32.1
"4crsDLpDCaWh8qhCEstti3c63oH4xdArnmXLWakpBAGS","TME","The Mog Economy","DmD8RWUygw8fsiKrj4gQqDk31HQVejUrS9R6vJDGru6t",1771132203,0,21878.77,2.62,0.000005444,273,173,0,true,false,false,"dexscreener",65,17,15,8,25,0,25.2
"G83vNy8rgi9V6nhWJ2nDKkukmJkEJVEyKWkrWzCkpump","ditto","Ditto","GDE2BxLn9ATCPG5iGdAqTxLZBUXHFYqECUo5Addgwvut",1771137672,0,11664.57,0,0.00003692,68,7,0,true,true,false,"dexscreener",65,18,6,16,25,0,23.7
"5xNShMDxuokWJF2hpzxj9L1rWNSP3QzAnYN7E3Gspump","dopamine","dopamine coin","3VojH3BphiJ4tN3FfKj8zHwzN1Y7Mc9pvys4QVbkocgj",1771133412,0,8996.29,3.69,0.000006979,185,85,0,true,false,false,"dexscreener",64,16,15,8,25,0,24.9
"FPgp3P1p3rJCSUsbiMgoS2Y2GxaeS7YCVbUqw3Popump","PIPPJUICE","PIPPINJIUCE","7Vn59g2ER3HjULAUcpXohZjsqWxhErD5AR9iNFi6U1JZ",1771140224,0,23103.28,1274,0.00003691,225,82,0,true,false,false,"dexscreener",63,18,12,8,25,0,23
"tsY6tGpWWSm8rcvQXd5mSV28eptNxvKNmbR4FUbpump","Trump","Trump","GDpE8MwTy5HWfhpXrYba7BJkUXryQpdk4kDWznUCy8VQ",1771142427,0,22759.77,486,0.00002628,1676,705,0,false,false,false,"dexscreener",62,20,17,0,25,0,22.4
"BuMfZSbXhKGAraveZeta5hUKkCFdLX772UtiNt9MiqNh","X plans","X plans","G1Apd9HfTr2FwsG6qxQQEwFYLyzcPPCrw7UWG2Eg1seJ",1771074315,0,164110.61,0,0.00003813,287,271,0,false,false,false,"dexscreener",61,19,17,0,25,0,41.3
"kpC5UPZsgD7S4QYVJTAtVZ6woe8YZbsmpV5sR6Xpump","SHOEBILL","Shoebill Coin","53dQMp2N7ntxF1fGx3uxiEMVtpnmxuEBeHsGio5nueTX",1771130930,0,60454.07,3.55,0.000004212,759,620,0,false,false,false,"dexscreener",61,19,17,0,25,0,25.6
"6t6yLG3krcdfDDcnxpdjQGtrMRBaWMxBPwN856HgBAGS","COOKED","cooked","3RitidM8JiJxAQ7JtrkKwkq6a5nmeFVLTdg9v2DBWQyr",1771067661,0,34452.22,0,0.000002441,489,340,0,false,false,false,"dexscreener",60,18,17,0,25,0,43.1
