mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"2iutGoKbGDVtpQyGyFpcBxB2JW8GLE9x3rnSkQp7m9QG","MOGGED","Mogged By Clav","D5LGrGotGych8RWrq8oVRKwsGutY2buAfL9WEiE41DBg",1771143585,59603.291,132176.041843642,18.755,0.00004065972965489645,152,99,0,false,false,false,"geckoterminal",46,15,15,0,16,2.218,0.1
"74yXMBuAShhXPXES38j5cM3xgv9MR3HZv4QYHsyqAvjq","ICED","Iced Dog","B7rpehxdA9JEt4ENGgDbawbRw17Runm9occToPrMbrET",1771143448,51275.016,266385.964834453,87.454,0.00003575509231267006,649,522,0,false,false,false,"geckoterminal",49,16,17,0,16,5.195,0.1
"AW478MPwJGq3UZ2BMstjEc5ucwLqMaCZbvy2vcf1sbqC","LUCKY","LUCKYHODL","9wxNwS3jAXsPJDK53sfKR6ahdPkwxMqXj7iVSxGtbD23",1771143100,60020.5558,80804.5624951431,81.027,0.00003826644349682227,183,140,0,false,false,false,"geckoterminal",45,14,15,0,16,1.346,0.2
"5QxgeGq1gpgp2yvZJjvkYZ97Ucy7YpRSJR5S38Qyujce","USOR","U.S. Oil Reserve","7Woirx2sYFURAYUz4zUoxHPApoi7E3iKUNKYNdtqYpaw",1771143058,77711.4346,297320.493906158,47.062,0.00004744780836602003,836,702,0,false,false,false,"geckoterminal",48,15,17,0,16,3.826,0.2
"EsExEBNaP5uiJvvAVm9rUXyAxX19RRyxFoEszHpCfiuF","Asahi","アサヒ","J7cVfHnJwLLrQMTbmEymivrUxEtbbkqF41keAmRTfBEJ",1771142987,80883.2206,1207868.82101984,120.284,0.00006178635150712616,2501,1428,0,false,false,false,"geckoterminal",54,18,20,0,16,14.933,0.3
"CfYYctyTfdDqnix71qWg5JPo4XHtbgb1xP73cC7yWGMh","1ZZS AWPZ","2X BFSA USOR6 DOODI7 OAX2 ROCK0","GpKXyjVaU8bUaqJt6YghYa8w28HwzvCLEgQP67WfQqx",1771140462,60539.3213,15006148.7325737,-99.669,0.00002809894263728907,168,167,0,false,false,false,"geckoterminal",46,15,15,0,16,247.874,1
"2mtEggipCzhHPHduodwzUCrdTHw8tNr4hGpJE99VpgVW","ZZS AWP2","2Z BFS1 USOR2 DOODI4 OAX2 ROCK5","3fLEmW3rn1GtbPTEu1dy3FSEWxGqDRYmMJwwMq4VBG5q",1771140453,58437.5691,15545811.1969961,-99.709,0.000024718203130129077,174,173,0,false,false,false,"geckoterminal",46,15,15,0,16,266.024,1
"HfvR1WyCRSFnD1P29g73Gemd9XeeLNQb3A5W5DaWQiBK","5C BFCX1","M1 OXGA USMARA USRX2 CMRM OBXX","35Etb6aqBzGmk83De6pxuhC4PGEYRuoW7aNSWaqq8JGH",1771140329,59629.7899,19143918.8103972,-99.876,0.000010551010840503121,214,213,0,false,false,false,"geckoterminal",46,15,15,0,16,321.046,1
"3jqUEjgPhBXt54SiyZ1QWitpSY5KfnFGfvmj1c5k2Se2","23Z USRX4","G3 OXGA BFCB OBX2 USMAR5 CMR4","3CscNMMVtjp3WAebDQdttALq9ULZj9LcSVceucE466GU",1771140322,58499.773,20042714.3250384,-99.897,0.000008526084262541619,224,223,0,false,false,false,"geckoterminal",46,15,15,0,16,342.612,1
"Ak21zgMRMKnkd39hEb7A48NpA4GpCALAFwNMVsDMVJ8T","ZS1 ICF1","ZSQ1 USRX3 SAFEMOON11","FW6kBDanhcCntAFaifsVnmnN5YTWcZjGGrqUrnzSgt9A",1771140288,59629.7899,36355274.0398386,-99.998,1.777212789955964e-7,406,404,0,false,false,false,"geckoterminal",48,15,17,0,16,609.683,1
"8nyabpQwTo9gWBGsGf2wSv9NtyeF6fbqWjrLWiZkYUui","ZS1S","123Z USRX1 ICF4 SAFEMOON2","CoU24iyuHy7AyiC4LSbpWwFYdqtPPgYXLouyfCaqEEsD",1771140137,58499.7738,35360435.9990174,-99.997,2.2958449973904727e-7,394,393,0,false,false,false,"geckoterminal",50,17,17,0,16,604.454,1
"85NPLXzyAQwehwaRG1bBKUSA42rckP9S75rSE1BBCvkS","B2 DOMEC","AV2 BEASTS VDR4 XMNB FUEF5 SCMR2","F9EEQAp3hzTSFDc6X5SnqJyAvVmNyrveSbHyz58D5f19",1771140127,57163.4757,36260650.6635714,-99.998,1.8578204678409776e-7,404,403,0,false,false,false,"geckoterminal",50,17,17,0,16,634.333,1.1
"J9Q23gfeTtUFCpFAZ8CaHBNqukWPV9KAHjusKfJqDTCT","ditto","Ditto","Bg1ND5CAZCcEX7GDTSXsVuenGJm1Uj4kYMDozwsgmog7",1771138023,104728.8783,16885704.4130618,144.57,0.00017064581050317548,11964,9415,0,false,false,false,"geckoterminal",59,20,20,0,19,161.233,1.6
"BW1YD3ruroawUyQugbTr11jnZuoVj7atos4ftKnv5K2q","MRBEAST","Mr Beast Inu","3HWnC4CEKSCPrrANWLGVxexNb1XVK5ByZz5FpAWhP4zF",1771137732,109236.3366,18348129.2036704,187.071,0.00029612057551465143,14429,11086,0,false,false,false,"geckoterminal",59,20,20,0,19,167.967,1.7
"41GPHWGbp3foNApeyY65Pr1LyS1ttbELBy4uWKFr4UXT","BOTCOIN","BOTCOIN","8FnNoSkMdGG9T1BN1abiRKm4bi9fxo5CdGfp2LDTdir9",1771137046,295436.4868,16505921.0420033,94.06,0.00024247782180017145,15707,12688,0,false,false,false,"geckoterminal",62,20,20,0,22,55.87,1.9
"83KbgS1ETRHzUiSvDgPauo8UZVPypLYEUzHT16CRr6UV","PEPPIN","peppin_2026","DhcKwqRACVAAkffnqXEVRjrExcGPuPfcvuRCg3r4htrQ",1771136695,295558.0741,13558462.0204056,38.751,0.00018999168225844085,12007,9678,0,false,false,false,"geckoterminal",62,20,20,0,22,45.874,2
"FyW7wmwNuLE1r126scPRL37wLAsxBw64pZTEVkpnAPz5","GROKPEPE","GROKPEPE","DPEnRDiM4rvihmaKdzBrGGRU1AtSau7VpaY97hqNGYEB",1771136046,138764.9763,9893242.76203078,127.599,0.0010481935999070698,15529,14932,0,false,false,false,"geckoterminal",58,19,20,0,19,71.295,2.2
"6ZEcWmHKX5xbevcCs2erMFyRLYNyggeQysbTSRDmGc7j","DOGE","DOGE","6bA8bWeiMWBET8ZGPi2X5VEcZD9G7fFU6voFspPanmoQ",1771135081,98074.5803,16184433.1464309,52.583,0.00008569710833140365,16095,13371,0,false,false,false,"geckoterminal",56,20,20,0,16,165.022,2.5
"9AaqocUfPnGzmbSZcbmX5jgbtqxJE3Ww7sNQBYRJN7a3","torch","torch","Hq6WrYSZcggzsdudJvVnYoj3DpVYBYbL8Mg1jMwniT5d",1771134834,60312.471,1427202.81246101,5.68,0.0000977595886439637,16367,16360,0,false,false,false,"geckoterminal",55,19,20,0,16,23.663,2.5
"Ea7Q9vLgEF1LRLQZ4tRFagGi6Y8CRw9dgzTpXr1FWE5B","Mixue","Mixue","4UESzAbwLnYTUB4GeKkGnNfTX3mkKqLXQUx8z4cj2o6P",1771134674,133609.7299,19750808.4551171,3.463,0.0001729634899099542,15891,10853,0,false,false,false,"geckoterminal",59,20,20,0,19,147.825,2.6
"5Tt1kaFjHdMAYZPCxfsj9tnqY643MbA2U5oginzNHuds","MogScan","MogScan","C6PSESrkmRHPVshzPCALNPYyWYNtdenDcY3qNeZPKNPb",1771132084,124031.4451,12467883.585624,-12.074,0.00012787904308841664,26843,17349,0,false,false,false,"geckoterminal",59,20,20,0,19,100.522,3.3
"BZy9wv5Vv2EUhUj25WQDxnmdA7u72YzmPJmqwMdEBaxG","Elon","Elon New profile picture","ATfMCFFgn3F32ViA4WhpcWPNf86NyCiAUBZy2Q2qMUbx",1771131995,98948.1847,13443860.5629754,0,0.000132814341802063,11552,10054,0,false,false,false,"geckoterminal",55,19,20,0,16,135.868,3.3
"6UmxaXeeUVmNt2pxn53b8nHLiZjcHnZUA3tSJkVrw5yv","zauth","zauthx402","9MWxrNPABGd2bayKMmJq6wQRV2FFgBUVY26ZCiXRqLNr",1771131837,136666.6571,17694111.4168422,11.326,0.00008640497603133022,22376,20591,0,false,false,false,"geckoterminal",58,19,20,0,19,129.469,3.4
"9ELyPxBtMLTjXnx5Rh829UdHEPg5K39bmW22SAu5aVK1","BTw","BITWAY_XYZ SWAp XYz","ADCXv12ekaYjSyTLtLZuyw9sMkehBcVRVeN47L8tcit",1771130821,89122.3114,11726291.9850136,0.1,0.0006495687762386692,19743,15612,0,false,false,false,"geckoterminal",56,20,20,0,16,131.575,3.6
"B2yXJysd8Wjnfe7yZriawLQmGxVCM4EnCU1FxrgyHCNg","CLAW","OpenClaw AI","4iDqPpUU5gdxvux524ZiwTdLZA97FC2QsoBH84J7QQKv",1771130775,67939.931,6743307.90429325,-27.143,0.000061181243225521,15380,15041,0,false,false,false,"geckoterminal",55,19,20,0,16,99.254,3.6
"9btLvv3qTY8XHT7b1HXv4mKZ7gkRfqmECfS1q4ffzH3v","Rockstar","Rockstar Games","8nVVQZBms4ZUwagEZVfYxqsQcjRrtZA2zmtr3m2pbccA",1771130506,77247.4497,6767596.7465129,18.007,0.00007779535761274639,17900,17181,0,false,false,false,"geckoterminal",55,19,20,0,16,87.609,3.7
"6mnrcYgQrj9bobZ1e95coQMaiN8jpNqZJf8C4cBJe5ZF","X Money","X Money","JAkspxrhhXHk4NtG6c9QQLgZ5DyjdVAsNp4SxkjFJhL1",1771129572,124184.0511,8610338.74956763,0,0.00012054845800438576,15339,14615,0,false,false,false,"geckoterminal",58,19,20,0,19,69.335,4
"EMMiGudXs9cHBixn6PDohLo4vNvVhXwTfoBnApanpump","TRUMP2","trump2","6HRJAwjHmN2qWfPYVJ2KtyzAYNDkfhhkSPjdwo7Dv1Zv",1771129509,611604.0265,1364000.75780799,25.18,0.057730854803713975,10834,5556,0,false,false,false,"geckoterminal",65,20,20,0,25,2.23,4
