mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr","POPCAT","Popcat","FRhB8L7Y9Qq41qZXYLtC2nw8An1RJfLLxRF2x9RwLLMo",1702415044,3585592.38,1522178.17,1.01,0.0584,2387,2649,0,true,true,true,"dexscreener",90,20,20,25,25,0.425,19113.3
"8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump","WOJAK","Wojak","FDrY5i5kuadZ1ik8gPS26qjj9Rw9mpufXMegGC2HNSP7",1762202489,586334.1367,670621.064263318,3.289,0.012475841077960013,1389,1425,0,true,true,true,"geckoterminal",90,20,20,25,25,1.144,2505.7
"9223LqDuoJXyhCtvi54DUQPGS8Xf29kUEQRr7Sfhmoon","LOOK","LOOK","HSemLnpwZ3fk9iNNMPUCXs6NSQoi7y3N941ExYz9ANBq",1756937427,542438.07,199783.08,0.83,0.01165,1398,1156,0,true,true,true,"dexscreener",90,20,20,25,25,0.368,3968.2
"DpBzjtgGLF7QA9Ug3eUVGbnqa6j3jvYBn1XuQuktvfhm","DOGE-1","DOGE-1 Satellite","2fckuYXUrwbA9LHKMP1az5DTFstFrRjqqbBstz7yvVXL",1755029293,208249.69,172563.6,1.61,0.0006869,1461,708,0,true,true,true,"dexscreener",88,21,20,25,22,0.829,4498.2
"HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3","PYTH","Pyth Network","9n3dSLrERZQp95dHXywft7xV8D8xnGFLaUHtEhQVaXaC",1700462988,248467.8,1066428.6,0.6,0.05739,2728,2631,0,true,true,true,"dexscreener",87,20,20,25,22,4.292,19655.5
"BBKPiLM9KjdJW7oQSKt99RVWcZdhF6sEHRKnwqeBGHST","GHOST","GhostwareOS","D4RsTBHeborjgvM1fXZYWJNnoLBopqUSBM4FDzHwRPaM",1761162257,228931.06,133812.71,0.75,0.007008,1007,1029,0,true,true,true,"dexscreener",86,19,20,25,22,0.585,2794.6
"BFgdzMkTPdKKJeTipv2njtDEwhKxkgFueJQfJGt1jups","URANUS","Uranus","7ccKzmrXBpFHwyZGPqPuKL6bEyWAETSnHwnWe3jEneVc",1751516421,206456.89,114907.35,3.12,0.02331,359,265,0,true,true,true,"dexscreener",82,18,17,25,22,0.557,5474
"So11111111111111111111111111111111111111112","SOL","Wrapped SOL","Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE",1688567642,26167814.7661,110869074.072971,1.205,90.94661981697706,22299,25298,0,true,true,false,"geckoterminal",81,20,20,16,25,4.237,22959.8
"Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk","USELESS","USELESS COIN","Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp",1746886996,1680553.28,2012651.88,1.8,0.04593,6860,6611,0,true,true,false,"dexscreener",81,20,20,16,25,1.198,6760
"Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump","neet","NotInEmploymentEducationTraining","5wNu5QhdpRGrL37ffcd6TMMqZugQgxwafgz477rShtHy",1745715491,943907.98,669233.48,12.46,0.01424,1168,1199,0,true,true,false,"dexscreener",81,20,20,16,25,0.709,7085.4
"3z2tRjNuQjoq6UDcw4zyEPD1Eb5KXMPYb4GWFzVT1DPg","SURGE","SURGE","BScfGKZf9YDfpL11hZQnCQPskPrdeyFcvCjSA5qupEH5",1762105217,693712.45,581226.39,3.3,0.05066,2007,2457,0,true,true,false,"dexscreener",81,20,20,16,25,0.838,2532.7
