mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr","SPX","SPX6900 (Wormhole)","9t1H1uDJ558iMPNkEPSN1fqkpC4XSPQ6cqSf6uEsTfTR",1703129888,1690435.94,600223.21,-0.03,0.3366,3188,2434,0,true,true,true,"dexscreener",91,21,20,25,25,0.355,18914.7
"Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump","pippin","Pippin","8WwcNqdZjCY5Pt7AkhupAFknV2txca9sq6YBkGzLbvdt",1731184061,16981235.5849,27559168.2930182,-2.103,0.6861424990291243,28127,28966,0,true,true,true,"geckoterminal",90,20,20,25,25,1.623,11121.9
"7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr","POPCAT","Popcat","FRhB8L7Y9Qq41qZXYLtC2nw8An1RJfLLxRF2x9RwLLMo",1702415044,3585592.38,1522178.17,1.01,0.0584,2387,2649,0,true,true,true,"dexscreener",90,20,20,25,25,0.425,19113.3
"ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY","MOODENG","Moo Deng","22WrmyTj8x2TRVQen3fxxi2r4Rn6JDHWoMTpsSmn8RUd",1725994387,2922822.28,2077060.74,-0.42,0.0617,4922,5162,0,true,true,true,"dexscreener",90,20,20,25,25,0.711,12563.5
"6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump","VINE","Vine Coin","58fzJMbX5PatnfJPqWWsqkVFPRKptkbb5r2vCw4Qq3z9",1737591763,2196993.0875,1119647.62936552,-0.043,0.020572157091636126,2919,3151,0,true,true,true,"geckoterminal",90,20,20,25,25,0.51,9342
"61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump","arc","AI Rig Complex","J3b6dvheS2Y1cbMtVz5TCWXNegSjJDbUKxdUVDPoqmS7",1733865287,3844934.2404,1745870.92547144,-1.178,0.07676912432839753,3063,4132,0,true,true,true,"geckoterminal",89,19,20,25,25,0.454,10377.1
"HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3","PYTH","Pyth Network","9n3dSLrERZQp95dHXywft7xV8D8xnGFLaUHtEhQVaXaC",1700462988,248467.8,1066428.6,0.6,0.05739,2728,2631,0,true,true,true,"dexscreener",87,20,20,25,22,4.292,19655.5
"So11111111111111111111111111111111111111112","SOL","Wrapped SOL","Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE",1688567642,26167814.7661,110869074.072971,1.205,90.94661981697706,22299,25298,0,true,true,false,"geckoterminal",81,20,20,16,25,4.237,22959.8
"Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump","CHILLGUY","Just a chill guy","93tjgwff5Ac5ThyMi8C4WejVVQq4tuMeMuYW1LEYZ7bu",1731701302,1173550.2,417349.25,-1.47,0.0122,1347,1522,0,true,false,true,"dexscreener",81,19,20,17,25,0.356,10978.2
"3dQTr7ror2QPKQ3GbBCokJUmjErGg8kTJzdnYjNfvi3Z","BORG","SwissBorg Token","KLkoFSdCpC523EmmGyJxmLv1A3itv8ZNiMZwjPmFXuk",1714977477,687978.15,209440.15,-1.94,0.206,338,533,0,true,true,true,"dexscreener",80,16,14,25,25,0.304,15623.7
