mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"Cwz7GVz5tbYGRWuCdeXNGZokkBYv3Gj3ZoRPCZCpump","Pim","Pim Neill","GMe1JPYs5qy1ZiMmvJQn8SU3xkjC8AkyVShpZFY22kR1",1771143685,196682.227150174,1177.0469881546,0,0.0001966792771577222,1,0,0,false,false,false,"geckoterminal",33,10,4,0,19,0.006,22
"9cLZDjq6eLGqTnMsPe28k6kVaGo8ahQ1yzN7DrpXpump","LOX","Launch On X","FMnuwKm4ArHcizCcc14rRHv2mDVEeodKWKpBHehU2Ys4",1771143680,373703.561543961,1493.9441244326,0,0.0003744467888558223,1,0,0,false,false,false,"geckoterminal",36,10,4,0,22,0.004,22
"231jtP1Uv76TqtByJji3QNpwgvLsk7Pr4oDQjXB25sLg","HUNT","Travis hunter","8NocwWetVHNZqhZqvy7achiBeTWhsiC9qfWZAtgaPXFw",1771143628,25161.6675,12848.7941999399,177.135,0.000022936799521666722,428,108,0,false,false,false,"geckoterminal",46,19,14,0,13,0.511,22
"7E1P1N1cck6VAQzQaCMSo6dxYqDT8DbQXXvBoEbLfsWC","PayPal","PayPal","emaNHtTR9VRj4GoAkrGZrUvQeUv2cFvuTVqZWhBAoY5",1771143587,60963.5695,480.5218718162,483.118,0.00006652340542657981,20,0,0,false,false,false,"geckoterminal",34,14,4,0,16,0.008,22
"2iutGoKbGDVtpQyGyFpcBxB2JW8GLE9x3rnSkQp7m9QG","MOGGED","Mogged By Clav","D5LGrGotGych8RWrq8oVRKwsGutY2buAfL9WEiE41DBg",1771143585,59603.291,132176.041843642,18.755,0.00004065972965489645,152,99,0,false,false,false,"geckoterminal",50,19,15,0,16,2.218,22
"9ZaNMHpJYqXH1PbLn1pKDbRfAFGoZLefGBEDzGBBi9YY","BANKR","Bankr on Sol","5GXhC8KpzHp21yLZS56ZqLpergsQdgUxjzY7Y6wziGAy",1771143575,32168.1585,11839.4331726528,301.461,0.00006152227984673205,24,3,0,false,false,false,"geckoterminal",36,17,6,0,13,0.368,22
"FcCH2oNB2bUztjGtDGGxLJAsSdMtmQyeBq1TJa8i2nNS","Poopoo","Poopoocoin","A6s8XyBZ7X4vpt8uhVrKrZSPpUfBoBWCzPMWbLx3zEYy",1771143549,35100.0289,13611.7426254655,378.432,0.00006970492934725494,35,2,0,false,false,false,"geckoterminal",37,18,6,0,13,0.388,22
"4h1nSqRtysEL8WT16JFukftRUC8DS3Rg13MtzSZjWXRb","马头","马头","4wkoiCd8ZPUn365XPKb2vxNSeQL7AWByh4ZwcUzTtKg6",1771143482,199372.8933,778.8331484344,83.987,0.00020881175394988805,29,0,0,false,false,false,"geckoterminal",39,14,6,0,19,0.004,22.1
"6xWJP4U86A3M7zepZ2yN6h8WXCMETudiHM5ss1FfZb8j","1000X","1000X","3BbczHMr1gMFwLR3ZGZYEjsZCrR4b42ErQdR9rbLk4f5",1771143478,36748.1,15315.5192760514,440.999,0.00007874310038442449,52,5,0,false,false,false,"geckoterminal",37,18,6,0,13,0.417,22.1
"C45yt6dLw8Jbz1wYWsFqVxJGFDHCcQWM8E5Wz2VNs8RK","OILX","Oil Exchange","FZrJidECGaKxJqRXCed76Jev4BCVCtxu99vYA7kzob51",1771143456,38057.5556,15333.6785192719,497.936,0.00008599362645182504,53,0,0,false,false,false,"geckoterminal",37,18,6,0,13,0.403,22.1
"74yXMBuAShhXPXES38j5cM3xgv9MR3HZv4QYHsyqAvjq","ICED","Iced Dog","B7rpehxdA9JEt4ENGgDbawbRw17Runm9occToPrMbrET",1771143448,51275.016,266385.964834453,87.454,0.00003575509231267006,649,522,0,false,false,false,"geckoterminal",53,20,17,0,16,5.195,22.1
"EKsWCSCKruxuacbUbCS7ct8K134uJQJqeV7Hch2fgR2A","Asahi","アサヒ","3aX8MYobrxi4pArnL4FRgjuzLmwTSDhfH1wT7UcBzZxH",1771143427,30883.5965,35629.6193346817,270.843,0.000029977693863033166,1256,340,0,false,false,false,"geckoterminal",48,21,14,0,13,1.154,22.1
"3MBXPaLbTfbFVqY3mNiJGjV5Rr6PTeq2hBH6rzxuUNcp","Macrohard","The Mission of Truth","2WSzZMU9BnYA7Y57TwuEmVxEMfKjsDz7ksgmbwJniEoc",1771143427,37647.4753,14934.7943734145,443.393,0.00007915652471002769,56,6,0,false,false,false,"geckoterminal",37,18,6,0,13,0.397,22.1
"TGSyDK8MWxpy2zCGiCGR49vnD74mxt8qseWvcJLWXZb","HUNT","Travis hunter","J3y81HdRSw8q8HVEGsaBKwfAoqFmEt2UoPEjfAusPM62",1771143414,27704.9889,16868.5800278004,215.918,0.00002475137968598962,579,144,0,false,false,false,"geckoterminal",43,20,10,0,13,0.609,22.1
"9ot5wQe1NGXfotUwpz79Cb5X48AXqDAEea9zgipzpump","FST","FunkoSolTaker","9XedhaBB9gV7jLh76a9CBmwdYNqvhCFwoM4Tsysq9wqa",1771143317,22828.1779,560.8098936405,1062.647,0.000029679046226631797,34,17,0,false,false,false,"geckoterminal",36,13,13,0,10,0.025,22.1
"A7Wh2EEGDtVFUuhtbXQm7r5nBkHryaeR7J9vikJrpump","wifjuice","wifhat wifjuice","HXkBvFySsEDwvHEqf5Z2Fusv33jut9rAQ6LSfqobq28",1771143230,20598.5804,76605.0846827498,77.25,0.00007757041383907782,609,355,0,false,false,false,"geckoterminal",46,19,17,0,10,3.719,22.1
