algo_id,total_trades,win_rate,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expectancy_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,avg_duration_hours,median_duration_hours,sl_hits,tp_hits,trail_stops,expired,end_of_data,dual_trigger_bars,expiry_exits_below_entry,best_day,worst_day
"xstock_swing",152,26.3,75.84,-11.1,97.79,-11.33,2.44,11.78,1790.42,4.38,-20.23,7.86,1.92,109,29,0,9,5,0,0,"2026-02-15","2026-02-16"
"xstock_intraday",477,17.6,69.12,-9.28,97.79,-9.35,1.59,4.53,2160.08,2.11,-43.5,9.69,1.08,388,51,0,0,38,0,0,"2026-02-15","2026-02-10"
"volume_spike",104,48.1,13.47,-9.13,13.47,-9.35,1.37,1.73,180.27,2.43,-10.6,2.03,0.83,52,50,0,0,2,1,0,"2026-02-15","2026-02-08"
"utility_swing",114,48.2,13.3,-9.17,13.47,-9.35,1.35,1.67,190.86,2.36,-9.87,9.27,1.58,57,54,0,0,3,0,0,"2026-02-15","2026-02-05"
"sol_veteran",148,47.3,13.06,-9.21,13.47,-9.35,1.27,1.32,195.54,1.87,-15.58,10.22,2.17,76,67,0,1,4,0,0,"2026-02-06","2026-02-05"
"meme_classic",97,47.4,13.04,-9.25,13.47,-9.35,1.27,1.32,128.17,1.87,-10.52,12.17,2.08,50,44,0,1,2,0,0,"2026-02-06","2026-02-05"
"bluechip_trend_follow",610,35.9,22.68,-11.17,23.39,-11.33,1.14,0.98,600.39,0.95,-36.44,4.59,1.42,382,209,0,10,9,1,2,"2026-02-11","2026-02-09"
"bluechip_breakout",610,35.9,22.68,-11.17,23.39,-11.33,1.14,0.98,600.39,0.95,-36.44,4.59,1.42,382,209,0,10,9,1,2,"2026-02-11","2026-02-09"
"established_breakout",251,42.2,13.38,-9.27,13.47,-9.35,1.06,0.3,74.77,0.42,-19.95,3.95,1.08,143,105,0,0,3,1,0,"2026-02-15","2026-02-05"
"let_it_ride",771,30.7,22.86,-11.29,23.39,-11.33,0.9,-0.79,-612.58,-0.8,-79.17,2.61,0.75,532,230,0,1,8,4,0,"2026-02-01","2026-02-07"
"prestock_speculative",79,32.9,8.51,-5.38,8.51,-5.38,0.78,-0.81,-63.95,-1.97,-9.75,0.14,0.08,53,26,0,0,0,10,0,"2026-02-16","2026-02-15"
"elite",183,36.1,17.22,-11.14,18.43,-11.33,0.87,-0.91,-166.45,-1.04,-24.21,1.8,0.67,114,61,0,6,2,1,2,"2026-02-12","2026-02-14"
"momentum",360,30.3,22.6,-11.24,23.39,-11.33,0.87,-1,-359.39,-1.01,-48.72,2.1,0.58,248,103,0,5,4,1,0,"2026-02-11","2026-02-14"
"hybrid_b",360,30.3,22.6,-11.24,23.39,-11.33,0.87,-1,-359.39,-1.01,-48.72,2.1,0.58,248,103,0,5,4,1,0,"2026-02-11","2026-02-14"
"index_leveraged",112,31.3,8.51,-5.38,8.51,-5.38,0.72,-1.04,-116.51,-2.57,-13.93,0.14,0.08,77,35,0,0,0,15,0,"2026-02-16","2026-02-15"
"micro_cap_surge",140,33.6,18.14,-11.01,18.43,-11.33,0.83,-1.22,-170.88,-1.4,-36.11,0.56,0.17,89,46,0,1,4,2,0,"2026-02-15","2026-02-16"
"index_intraday",144,28.5,8.51,-5.38,8.51,-5.38,0.63,-1.43,-205.35,-3.61,-21.11,0.14,0.08,103,41,0,0,0,17,0,"2026-02-16","2026-02-15"
"pump_fresh_tight",142,32.4,18.43,-11.18,18.43,-11.33,0.79,-1.59,-225.41,-1.81,-30.53,0.47,0.17,94,46,0,0,2,2,0,"2026-02-15","2026-02-16"
