algo_id,mint,symbol,name,entry_timestamp,entry_price_usd,exit_timestamp,exit_price_usd,pnl_percent,pnl_usd,exit_reason,high_water_mark_price,high_water_mark_percent,trade_duration_hours,candles_in_trade,score_at_entry,liquidity_at_entry,momentum_1h_at_entry,vol_liq_ratio_at_entry
"genetic_v2","Cwq13pofafd7KNbWBabULgt7QC1w53NjiPgES49Ypump","CLOUT","CLOUT",1769202600,0.00003862717696933832,1769265600,0.00003073201375986738,-21.2528,-2.1253,"sl_hit",0.0000679048143876995,75.7954,17.5,119,44,27500.4411,-12.069,0.978
"genetic_v2","ch7rTovcUK7C1zNFM7F93kXU2CByYUsJT4pwYx7pump","PP","Official PPshow",1769209800,0.004081858966383456,1769298300,0.004138723050447512,0.5252,0.0525,"expired",0.0049831916694805896,22.0814,24.58,131,49,164132.5467,2.11,0.207
"genetic_v2","Cwq13pofafd7KNbWBabULgt7QC1w53NjiPgES49Ypump","CLOUT","CLOUT",1769298000,0.000046320876686324024,1769302800,0.00003685316741689952,-21.2528,-2.1253,"sl_hit",0.000046595681328890716,0.5933,1.33,12,44,27500.4411,-12.069,0.978
"genetic_v2","ch7rTovcUK7C1zNFM7F93kXU2CByYUsJT4pwYx7pump","PP","Official PPshow",1769316600,0.0038344736585286207,1769403300,0.003823262090763256,-1.156,-0.1156,"expired",0.0038832031844506123,1.2708,24.08,96,49,164132.5467,2.11,0.207
"genetic_v2","Cwq13pofafd7KNbWBabULgt7QC1w53NjiPgES49Ypump","CLOUT","CLOUT",1769317200,0.00003586756887405659,1769337300,0.00002853645300161267,-21.2528,-2.1253,"sl_hit",0.00003586756887405659,0,5.58,21,44,27500.4411,-12.069,0.978
"genetic_v2","Cwq13pofafd7KNbWBabULgt7QC1w53NjiPgES49Ypump","CLOUT","CLOUT",1769355900,0.00003185432481045219,1769400000,0.00002534349194514463,-21.2528,-2.1253,"sl_hit",0.00004554763337497396,42.9873,12.25,57,44,27500.4411,-12.069,0.978
"genetic_v2","9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk","Hosico","Hosico cat",1769367300,0.00004861772829106678,1769454000,0.00005070768640774042,3.4237,0.3424,"expired",0.000051111693636369885,5.1297,24.08,54,47,53036.7307,-0.423,0.229
"genetic_v2","C7saXYFYnNuTQDx6ctEucs63cjhpXYJ2maRnn1Jibonk","EAGLE","The Bald Eagle",1769400000,0.000015856386010187033,1769424300,0.000012615435848020866,-21.2528,-2.1253,"sl_hit",0.000016503624873708334,4.0819,6.75,24,37,12084.38,0,0.00018039816688981977
"genetic_v2","7oLWGMuGbBm9uwDmffSdxLE98YChFAH1UdY5XpKYLff8","WOJAK","Wojak",1769412600,0.00040949675314730653,1769499600,0.00043572829118296,5.5254,0.5525,"expired",0.000482977385896553,17.9441,24.17,164,70,112816,-0.24,0.014
"genetic_v2","4nhRWqBLZUKvoorzDS4vPDBLRyn6A24uBtVvbjLXpump","SILVER","Tokenized Silver",1769441400,0.000006166527859853976,1769445000,0.0000049061265644669825,-21.2528,-2.1253,"sl_hit",0.000006166527859853976,0,1,4,23,3446.11,0,0.004
"genetic_v2","Cwq13pofafd7KNbWBabULgt7QC1w53NjiPgES49Ypump","CLOUT","CLOUT",1769446500,0.000027593327115630934,1769520300,0.00008232531229934499,196.9932,19.6993,"tp_hit",0.00008357509293974698,202.8815,20.5,140,44,27500.4411,-12.069,0.978
"genetic_v2","4nhRWqBLZUKvoorzDS4vPDBLRyn6A24uBtVvbjLXpump","SILVER","Tokenized Silver",1769458500,0.000010236101829325437,1769464800,0.000008143904032022295,-21.2528,-2.1253,"sl_hit",0.000012600925853843665,23.1028,1.75,7,23,3446.11,0,0.004
"genetic_v2","9RWXmkrbQY3EnF42zcYLDPXtxDkrNDtrJPz86y9Dpump","gem","gem",1769467500,0.000013790569389563082,1769476500,0.000010971859749752726,-21.2528,-2.1253,"sl_hit",0.00003131546645685431,127.0789,2.5,10,23,3334.61,0,0.000035986217278782224
"genetic_v2","HANRi4rBbQ28QJzGyFp9QP5QntEvaMJr17CNtRRHbonk","HYPER","Hyperborea",1769478300,0.00006519047743463103,1769566500,0.00005973473933942605,-9.2124,-0.9212,"expired",0.00006519047743463103,0,24.5,5,32,35027.65,0,0.002
"genetic_v2","9RWXmkrbQY3EnF42zcYLDPXtxDkrNDtrJPz86y9Dpump","gem","gem",1769493600,0.000005962795567463985,1769543100,0.0000047440359302477515,-21.2528,-2.1253,"sl_hit",0.000009482134784856294,59.0216,13.75,45,23,3334.61,0,0.000035986217278782224
"genetic_v2","ELfMimJJpytGccMtbgJFRrn3HSR6nwVoAVgL2jsmpump","SILVER","Digital Silver",1769499900,0.0000031669829412050207,1769616900,0.000003022813059680761,-5.4053,-0.5405,"expired",0.0000032500105501445967,2.6217,32.5,7,23,3574.06,0,0.006
"genetic_v2","2sTZzFctbcEawodcirCYcH32nZAF6h6CnWbqMGEKpump","inU","Copper inU",1769513400,0.000004951900986957415,1769523300,0.000003939762136629242,-21.2528,-2.1253,"sl_hit",0.00000557891899438042,12.6622,2.75,9,27,3391.44,0,0.021
"genetic_v2","HYdBgwSvEWHJKsagcwhKNNKThe91qYPk1aDvZjqzpump","SEAHAWKS","Seattle Seahawks",1769520900,0.0000486837822060483,1769609100,0.0000669644175363863,36.5917,3.6592,"expired",0.0000963595993857067,97.9296,24.5,160,43,5245.17,0,0.011
"genetic_v2","4nhRWqBLZUKvoorzDS4vPDBLRyn6A24uBtVvbjLXpump","SILVER","Tokenized Silver",1769534100,0.000006917311154084728,1769555700,0.000005503454258056735,-21.2528,-2.1253,"sl_hit",0.000007046625581735373,1.8694,6,12,23,3446.11,0,0.004
"genetic_v2","Cwq13pofafd7KNbWBabULgt7QC1w53NjiPgES49Ypump","CLOUT","CLOUT",1769546400,0.00005789659956834644,1769624100,0.000046062881996173844,-21.2528,-2.1253,"sl_hit",0.00008269260776458851,42.8281,21.58,130,44,27500.4411,-12.069,0.978
"genetic_v2","83iBDw3ZpxqJ3pEzrbttr9fGA57tttehDAxoFyR1moon","MEMDEX","MEMDEX100",1769550600,0.006534795616251101,1769552700,0.005199122601063075,-21.2528,-2.1253,"sl_hit",0.006534795616251101,0,0.58,7,54,421776.8591,0,0.033
"genetic_v2","6fQ55CghVKVZe9bqMpsR6sVZUqVjXvZ159ERjmGpump","HYPER","Bitcoin Hyper",1769556900,0.00019641446980610353,1769646300,0.00020247763258682207,2.2148,0.2215,"expired",0.00020359588297405706,3.6563,24.83,62,43,75933.57,-0.34,0.159
"genetic_v2","6TC3Nj94aEFK7ZzZ5QWUk29aUeym4TQYcqntW4z8Q88x","RMDN","Ramadan",1769562000,0.00017289730313590538,1769612700,0.00013755813175874516,-21.2528,-2.1253,"sl_hit",0.0001859336422102185,7.5399,14.08,35,53,40512.5561,5.695,3.112
