algo_id,mint,symbol,name,entry_timestamp,entry_price_usd,exit_timestamp,exit_price_usd,pnl_percent,pnl_usd,exit_reason,dual_trigger_bar,high_water_mark_price,high_water_mark_percent,trade_duration_hours,candles_in_trade,score_at_entry,liquidity_at_entry,momentum_1h_at_entry,vol_liq_ratio_at_entry
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1763503200,219.44565022376682,1764745200,244.42918638870233,10.4921,1.0492,"tp_hit",false,245.8763772799999,12.0443,345,305,60,667990.0946,0.015,1.088
"prestock_speculative","PreweJYECqtQwBtpxHL171nL2K6umo692gTm7Q3rpgF","OPENAI","OpenAI PreStocks",1763557200,823.3706128437933,1765450800,917.1100397230788,10.4921,1.0492,"tp_hit",false,981.5299137097938,19.2088,526,469,53,470848.9675,0.031,0.194
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1765184400,247.21291069800733,1766473200,275.35770504031836,10.4921,1.0492,"tp_hit",false,277.1457212420479,12.1081,358,279,60,667990.0946,0.015,1.088
"prestock_speculative","PreweJYECqtQwBtpxHL171nL2K6umo692gTm7Q3rpgF","OPENAI","OpenAI PreStocks",1765785600,877.8077276216159,1766095200,977.7447329189729,10.4921,1.0492,"tp_hit",false,999.4681859078037,13.8596,86,80,53,470848.9675,0.031,0.194
"prestock_speculative","PreweJYECqtQwBtpxHL171nL2K6umo692gTm7Q3rpgF","OPENAI","OpenAI PreStocks",1766239200,989.9627003758206,1766523600,1102.6683698732875,10.4921,1.0492,"tp_hit",false,1479.1165780214565,49.4113,79,70,53,470848.9675,0.031,0.194
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1766498400,289.85662060114424,1767175200,322.8563330859916,10.4921,1.0492,"tp_hit",false,325.1694322393148,12.1829,188,184,60,667990.0946,0.015,1.088
"prestock_speculative","PreweJYECqtQwBtpxHL171nL2K6umo692gTm7Q3rpgF","OPENAI","OpenAI PreStocks",1766649600,1159.8912054423388,1766664000,1291.9429633560203,10.4921,1.0492,"tp_hit",false,1335.4912251114279,15.1394,4,4,53,470848.9675,0.031,0.194
"prestock_speculative","PresTj4Yc2bAR197Er7wz4UUKSfqt6FryBEdAriBoQB","ANDURL","Anduril PreStocks",1766840400,100.46853810970639,1767978000,111.90672042383551,10.4921,1.0492,"tp_hit",false,112.7172671208806,12.1916,316,288,58,535677.4721,0.018,0.143
"prestock_speculative","PreweJYECqtQwBtpxHL171nL2K6umo692gTm7Q3rpgF","OPENAI","OpenAI PreStocks",1767088800,1149.8309785513477,1767092400,1029.163978711489,-11.3325,-1.1333,"sl_hit",false,1149.8309785513477,0,1,1,53,470848.9675,0.031,0.194
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1767405600,321.6253848162013,1768078800,358.24192027691015,10.4921,1.0492,"tp_hit",false,369.6847990366728,14.9427,187,173,60,667990.0946,0.015,1.088
"prestock_speculative","PreweJYECqtQwBtpxHL171nL2K6umo692gTm7Q3rpgF","OPENAI","OpenAI PreStocks",1768140000,1005.1689296143949,1769821200,1119.6058039807065,10.4921,1.0492,"tp_hit",false,1154.3491593960944,14.8413,467,270,53,470848.9675,0.031,0.194
