algo_id,fold,train_trades,validate_trades,validate_win_rate,validate_profit_factor,validate_expectancy_pct,validate_total_return_pct
"pump_fresh_tight",1,16,16,43.8,1.215,1.368,21.88
"pump_fresh_tight",2,32,16,43.8,1.265,1.688,27.01
"pump_fresh_tight",3,48,16,56.3,2.091,5.408,86.53
"pump_fresh_tight",4,64,16,31.3,0.702,-2.324,-37.19
"pump_fresh_tight",5,80,18,50,1.812,4.129,74.33
"micro_cap_surge",1,15,15,73.3,3.932,8.861,132.91
"micro_cap_surge",2,30,15,33.3,0.662,-2.557,-38.36
"micro_cap_surge",3,45,15,53.3,1.712,3.766,56.5
"micro_cap_surge",4,60,15,46.7,1.423,2.556,38.34
"micro_cap_surge",5,75,19,63.2,2.396,5.827,110.71
"elite",1,14,14,64.3,2.927,7.799,109.19
"elite",2,28,14,42.9,1.22,1.422,19.91
"elite",3,42,14,42.9,1.22,1.422,19.91
"elite",4,56,14,50,1.626,3.548,49.67
"elite",5,70,19,63.2,2.603,6.694,127.19
"momentum",1,11,11,18.2,0.459,-5.02,-55.22
"momentum",2,22,11,45.5,1.72,4.45,48.95
"momentum",3,33,11,36.4,1.361,2.255,24.8
"momentum",4,44,11,63.6,3.361,9.73,107.03
"momentum",5,55,13,61.5,3.378,9.425,122.53
"hybrid_b",1,11,11,18.2,0.459,-5.02,-55.22
"hybrid_b",2,22,11,45.5,1.72,4.45,48.95
"hybrid_b",3,33,11,36.4,1.361,2.255,24.8
"hybrid_b",4,44,11,63.6,3.361,9.73,107.03
"hybrid_b",5,55,13,61.5,3.378,9.425,122.53
"let_it_ride",1,9,9,33.3,1.032,0.241,2.17
"let_it_ride",2,18,9,22.2,0.59,-3.617,-32.55
"let_it_ride",3,27,9,44.4,1.352,2.218,19.96
"let_it_ride",4,36,9,66.7,4.128,11.815,106.33
"let_it_ride",5,45,11,54.5,2.124,5.79,63.69
"sol_veteran",1,11,11,45.5,1.201,1.023,11.25
"sol_veteran",2,22,11,90.9,14.407,11.394,125.33
"sol_veteran",3,33,11,45.5,1.424,1.824,20.07
"sol_veteran",4,44,11,45.5,1.201,1.023,11.25
"sol_veteran",5,55,16,87.5,9.805,10.289,164.62
"utility_swing",1,11,11,45.5,1.201,1.023,11.25
"utility_swing",2,22,11,90.9,14.407,11.394,125.33
